# Table format: XY
# Airfoil: NACA 6412
# Re: 100000
# Mach: 0.0
# alpha_Max: 6.0
# alpha_min: -1.0
# alpha_delta: 0.5 
#
# axis1_unit: degree
# axis2_unit: null
# axis3_unit: null
#
# alpha      CL       CD
# ------  -------   -------
  -1.000    0.5306    0.01767
  -0.500    0.5859    0.01734
  0.000    0.6417    0.01703
  0.500    0.6895    0.01584
  1.000    0.7477    0.01574
  1.500    0.8023    0.01610
  2.000    0.8561    0.01652
  2.500    0.9091    0.01699
  3.000    0.9614    0.01752
  3.500    1.0134    0.01809
  4.000    1.0654    0.01868
  4.500    1.1185    0.01928
  5.000    1.1673    0.01999
  5.500    1.2160    0.02075
  6.000    1.2662    0.02148
