# Table format: 1D
# AnglePCyl 	PCyl_raw
0  1.83912
0.25  1.8454
0.45  1.85126
0.65  1.8567
0.85  1.86172
1.05  1.86634
1.25  1.8706
1.45  1.87452
1.65  1.87814
1.85  1.8815
2.05  1.88462
2.25  1.88755
2.45  1.89028
2.65  1.89284
2.85  1.89523
3.05  1.89744
3.25  1.89944
3.45  1.90123
3.65  1.90277
3.85  1.90402
4.05  1.90496
4.25  1.90555
4.45  1.90576
4.65  1.90558
4.85  1.90498
5.05  1.90395
5.25  1.90251
5.45  1.90066
5.65  1.89843
5.85  1.89584
6.05  1.89294
6.25  1.88977
6.45  1.88639
6.65  1.88285
6.85  1.87921
7.05  1.87552
7.25  1.87183
7.45  1.86818
7.65  1.86462
7.85  1.86116
8.05  1.85783
8.25  1.85463
8.45  1.85156
8.65  1.84862
8.85  1.84578
9.05  1.84303
9.25  1.84034
9.45  1.83768
9.65  1.83502
9.85  1.83235
10.05  1.82963
10.25  1.82687
10.45  1.82403
10.65  1.82113
10.85  1.81816
11.05  1.81513
11.25  1.81205
11.45  1.80894
11.65  1.80582
11.85  1.80271
12.05  1.79964
12.25  1.79661
12.45  1.79366
12.65  1.79079
12.85  1.78804
13.05  1.7854
13.25  1.78289
13.45  1.78053
13.65  1.7783
13.85  1.77622
14.05  1.7743
14.25  1.77252
14.45  1.77088
14.65  1.76939
14.85  1.76802
15.05  1.76677
15.25  1.76562
15.45  1.76455
15.65  1.76354
15.85  1.76256
16.05  1.76159
16.25  1.76059
16.45  1.75954
16.65  1.75841
16.85  1.75717
17.05  1.7558
17.25  1.75428
17.45  1.75262
17.65  1.7508
17.85  1.74883
18.05  1.74673
18.25  1.74451
18.45  1.7422
18.65  1.73983
18.85  1.73743
19.05  1.73503
19.25  1.73267
19.45  1.73037
19.65  1.72815
19.85  1.72601
20.05  1.72398
20.25  1.72205
20.45  1.72021
20.65  1.71844
20.85  1.71673
21.05  1.71506
21.25  1.7134
21.45  1.71175
21.65  1.71007
21.85  1.70836
22.05  1.70663
22.25  1.70486
22.45  1.70307
22.65  1.70127
22.85  1.69948
23.05  1.69771
23.25  1.696
23.45  1.69436
23.65  1.69281
23.85  1.69136
24.05  1.69002
24.25  1.68878
24.45  1.68764
24.65  1.6866
24.85  1.68562
25.05  1.68469
25.25  1.68379
25.45  1.68289
25.65  1.68198
25.85  1.68103
26.05  1.68002
26.25  1.67895
26.45  1.67782
26.65  1.67662
26.85  1.67535
27.05  1.67403
27.25  1.67266
27.45  1.67125
27.65  1.6698
27.85  1.66831
28.05  1.66678
28.25  1.66522
28.45  1.6636
28.65  1.66193
28.85  1.66019
29.05  1.65838
29.25  1.65648
29.45  1.65449
29.65  1.65241
29.85  1.65026
30.05  1.64805
30.25  1.64579
30.45  1.64351
30.65  1.64125
30.85  1.63902
31.05  1.63686
31.25  1.63479
31.45  1.63283
31.65  1.63098
31.85  1.62925
32.05  1.62761
32.25  1.62605
32.45  1.62454
32.65  1.62303
32.85  1.62149
33.05  1.61986
33.25  1.61811
33.45  1.61622
