# Table format: XY
# axis1_unit = null
# axis2_unit = m
# axis3_unit = m
# axis4_unit = m
# axis5_unit = m
# axis6_unit = m
# axis7_unit = m**3
# axis8_unit = m**2
#C	COGx        	COGy        	COGz        	hfl/minPt   	hfl/refPt   	vol         	FS area     
# Orientation 1 : pitch = -20.0 degree ;   roll = -15.0 degree
1	-1.651830E-01	1.294095E-01	4.538367E-01	1.492904E+00	1.200289E+00	1.000000E+00	0.000000E+00
2	-1.651977E-01	1.294290E-01	4.537935E-01	1.462904E+00	1.170289E+00	9.999404E-01	5.960040E-03
3	-1.652928E-01	1.295518E-01	4.535021E-01	1.432904E+00	1.140289E+00	9.995232E-01	2.384016E-02
4	-1.655295E-01	1.298457E-01	4.527423E-01	1.402904E+00	1.110289E+00	9.983908E-01	5.364036E-02
5	-1.659481E-01	1.303398E-01	4.513231E-01	1.372904E+00	1.080289E+00	9.961855E-01	9.536063E-02
6	-1.665692E-01	1.310257E-01	4.490783E-01	1.342904E+00	1.050289E+00	9.925499E-01	1.490010E-01
7	-1.673939E-01	1.318570E-01	4.458624E-01	1.312904E+00	1.020289E+00	9.871263E-01	2.145615E-01
8	-1.684048E-01	1.327490E-01	4.415455E-01	1.282904E+00	9.902887E-01	9.795570E-01	2.920419E-01
9	-1.695654E-01	1.335759E-01	4.360071E-01	1.252904E+00	9.602887E-01	9.694846E-01	3.814425E-01
10	-1.708041E-01	1.341942E-01	4.291517E-01	1.222904E+00	9.302887E-01	9.565937E-01	4.780106E-01
11	-1.719467E-01	1.345777E-01	4.210004E-01	1.192904E+00	9.002887E-01	9.408039E-01	5.746468E-01
12	-1.727742E-01	1.347449E-01	4.115983E-01	1.162904E+00	8.702887E-01	9.221149E-01	6.712830E-01
13	-1.730547E-01	1.347065E-01	4.009762E-01	1.132904E+00	8.402887E-01	9.005397E-01	7.657784E-01
14	-1.726776E-01	1.344029E-01	3.892381E-01	1.102904E+00	8.102887E-01	8.762836E-01	8.493105E-01
15	-1.716472E-01	1.337399E-01	3.765410E-01	1.072904E+00	7.802887E-01	8.497003E-01	9.209226E-01
16	-1.699880E-01	1.326527E-01	3.630289E-01	1.042904E+00	7.502887E-01	8.211474E-01	9.806146E-01
17	-1.677484E-01	1.311130E-01	3.488370E-01	1.012904E+00	7.202887E-01	7.909826E-01	1.028386E+00
18	-1.650088E-01	1.291369E-01	3.340960E-01	9.829039E-01	6.902887E-01	7.595634E-01	1.064238E+00
19	-1.618927E-01	1.267965E-01	3.189372E-01	9.529039E-01	6.602887E-01	7.272475E-01	1.088170E+00
20	-1.585808E-01	1.242356E-01	3.034973E-01	9.229039E-01	6.302887E-01	6.943924E-01	1.100182E+00
21	-1.553211E-01	1.216833E-01	2.879190E-01	8.929039E-01	6.002887E-01	6.613487E-01	1.101718E+00
22	-1.522854E-01	1.193051E-01	2.722759E-01	8.629039E-01	5.702887E-01	6.282972E-01	1.101718E+00
23	-1.495189E-01	1.171378E-01	2.565613E-01	8.329039E-01	5.402887E-01	5.952456E-01	1.101718E+00
24	-1.470691E-01	1.152185E-01	2.407628E-01	8.029039E-01	5.102887E-01	5.621941E-01	1.101718E+00
25	-1.449953E-01	1.135938E-01	2.248645E-01	7.729039E-01	4.802887E-01	5.291425E-01	1.101718E+00
26	-1.433726E-01	1.123225E-01	2.088465E-01	7.429039E-01	4.502887E-01	4.960910E-01	1.101718E+00
27	-1.422977E-01	1.114804E-01	1.926832E-01	7.129039E-01	4.202887E-01	4.630395E-01	1.101718E+00
28	-1.418968E-01	1.111663E-01	1.763410E-01	6.829039E-01	3.902887E-01	4.299879E-01	1.101718E+00
29	-1.423383E-01	1.115123E-01	1.597753E-01	6.529039E-01	3.602887E-01	3.969364E-01	1.101718E+00
30	-1.438519E-01	1.126980E-01	1.429252E-01	6.229039E-01	3.302887E-01	3.638849E-01	1.101718E+00
