# Table format: 3D
# table_unit = A
# axis1_unit = rev/min
# axis2_unit = Nm
# axis3_unit = Vrms
# axis1_token = W
# axis2_token = Tem
# axis3_token = Us
# Id set point generated from PC-FEA WRSM parameter setting:
# p=3.0
# Rs=0.0114 [Ohm]
# Rf=9.6547 [Ohm]
# $AME/libemd/data/WRSM_data/WRSM_01_Psid_IdIqIf.data
# $AME/libemd/data/WRSM_data/WRSM_01_Psiq_IdIqIf.data
# $AME/libemd/data/WRSM_data/WRSM_01_Psif_IdIqIf.data
# (corresponds to Ld=0.001235 [H], Lq=0.000983 [H], Msf=0.052 [H], Lf=3.93 [H])
# $AME/libemd/data/WRSM_data/WRSM_01_dhiron_IdIqIfW.data
# lsew=0.0 [H]
# lfew=0.0 [H]
# Uslim=400.0/sqrt(6.0) [Vrms] (phase voltage RMS magnitude)
# Islim=175.0 [Arms] (phase current RMS magnitude)
# Uflim=400.0 [V] (phase voltage)
# Iflim=5.0 [A] (phase current)
# 
# 
41
33
2
-1.00000000000000e+04	-9.50000000000000e+03	-9.00000000000000e+03	-8.50000000000000e+03	-8.00000000000000e+03	-7.50000000000000e+03	-7.00000000000000e+03	-6.50000000000000e+03	-6.00000000000000e+03	-5.50000000000000e+03	-5.00000000000000e+03	-4.50000000000000e+03	-4.00000000000000e+03	-3.50000000000000e+03	-3.00000000000000e+03	-2.50000000000000e+03	-2.00000000000000e+03	-1.50000000000000e+03	-1.00000000000000e+03	-5.00000000000000e+02	0.00000000000000e+00	5.00000000000000e+02	1.00000000000000e+03	1.50000000000000e+03	2.00000000000000e+03	2.50000000000000e+03	3.00000000000000e+03	3.50000000000000e+03	4.00000000000000e+03	4.50000000000000e+03	5.00000000000000e+03	5.50000000000000e+03	6.00000000000000e+03	6.50000000000000e+03	7.00000000000000e+03	7.50000000000000e+03	8.00000000000000e+03	8.50000000000000e+03	9.00000000000000e+03	9.50000000000000e+03	1.00000000000000e+04	
-1.60000000000000e+02	-1.50000000000000e+02	-1.40000000000000e+02	-1.30000000000000e+02	-1.20000000000000e+02	-1.10000000000000e+02	-1.00000000000000e+02	-9.00000000000000e+01	-8.00000000000000e+01	-7.00000000000000e+01	-6.00000000000000e+01	-5.00000000000000e+01	-4.00000000000000e+01	-3.00000000000000e+01	-2.00000000000000e+01	-1.00000000000000e+01	0.00000000000000e+00	1.00000000000000e+01	2.00000000000000e+01	3.00000000000000e+01	4.00000000000000e+01	5.00000000000000e+01	6.00000000000000e+01	7.00000000000000e+01	8.00000000000000e+01	9.00000000000000e+01	1.00000000000000e+02	1.10000000000000e+02	1.20000000000000e+02	1.30000000000000e+02	1.40000000000000e+02	1.50000000000000e+02	1.60000000000000e+02	
1.30639452948436e+02	1.63299316185545e+02	
-2.55177067099078e+02	-2.55151075695261e+02	-2.54136878529823e+02	-2.53529199453671e+02	-2.52470030281081e+02	-2.53046104977371e+02	-2.51124731302909e+02	-2.49824098956081e+02	-2.50330926565635e+02	-2.43472835702963e+02	-2.38954096710200e+02	-2.21342470889289e+02	-2.03693398919552e+02	-1.66393653970426e+02	-1.33333331937927e+02	-1.33326902277392e+02	-1.33333333315013e+02	-1.33333333326904e+02	-1.33332926293544e+02	-1.33333332027312e+02	-1.33326283003031e+02	-1.33333332966895e+02	-1.33334151070602e+02	-1.33334126875541e+02	-1.33333332276780e+02	-1.33333331072901e+02	-1.33333333334241e+02	-1.52737350446333e+02	-2.02411416227167e+02	-2.23445986126785e+02	-2.42169800401564e+02	-2.46158841009250e+02	-2.51584259234239e+02	-2.53933173215505e+02	-2.53871455129199e+02	-2.55001164166595e+02	-2.56240617571416e+02	-2.56857148819859e+02	-2.56639986006372e+02	-2.56091673646880e+02	-2.57684376255993e+02	
-2.55177067099078e+02	-2.55151075695261e+02	-2.54136878529823e+02	-2.53529199453671e+02	-2.52470030281081e+02	-2.53046104977371e+02	-2.51124731302909e+02	-2.49824098956081e+02	-2.50330926565635e+02	-2.43472835702963e+02	-2.38954096710200e+02	-2.21342470889289e+02	-2.03693398919552e+02	-1.66393653970426e+02	-1.33333331937927e+02	-1.33326902277392e+02	-1.33333333315013e+02	-1.33333333326904e+02	-1.33332926293544e+02	-1.33333332027312e+02	-1.33337473068493e+02	-1.33333332966895e+02	-1.33291337852433e+02	-1.33342521393587e+02	-1.33325558964168e+02	-1.33327103614430e+02	-1.33328957069408e+02	-1.52737350446333e+02	-2.02411416227167e+02	-2.23445986126785e+02	-2.42169800401564e+02	-2.46158841009250e+02	-2.51584259234239e+02	-2.53933173215505e+02	-2.53871455129199e+02	-2.55001164166595e+02	-2.56240617571416e+02	-2.56857148819859e+02	-2.56639986006372e+02	-2.56091673646880e+02	-2.57684376255993e+02	
-2.55177067099078e+02	-2.55151075695261e+02	-2.54136878529823e+02	-2.53529199453671e+02	-2.52470030281081e+02	-2.53046104977371e+02	-2.51124731302909e+02	-2.49824098956081e+02	-2.50330926565635e+02	-2.43472835702963e+02	-2.38954096710200e+02	-2.21342470889289e+02	-2.03693398919552e+02	-1.63575930023067e+02	-1.33293338929516e+02	-1.31911650988266e+02	-1.29305920003071e+02	-1.19206902129586e+02	-1.14997587448981e+02	-1.08465332386224e+02	-1.03399087003746e+02	-1.06794998732009e+02	-1.10726485973015e+02	-1.16603920533651e+02	-1.23406167064326e+02	-1.26887658111736e+02	-1.30642534943315e+02	-1.33070165762666e+02	-2.02411416227167e+02	-2.23445986126785e+02	-2.42169800401564e+02	-2.46158841009250e+02	-2.51584259234239e+02	-2.53933173215505e+02	-2.53871455129199e+02	-2.55001164166595e+02	-2.56240617571416e+02	-2.56857148819859e+02	-2.56639986006372e+02	-2.56091673646880e+02	-2.57684376255993e+02	
-2.55177067099078e+02	-2.55151075695261e+02	-2.54136878529823e+02	-2.53529199453671e+02	-2.52470030281081e+02	-2.53046104977371e+02	-2.51124731302909e+02	-2.49824098956081e+02	-2.50330926565635e+02	-2.43472835702963e+02	-2.38954096710200e+02	-2.21342470889289e+02	-2.03693398919552e+02	-1.30549925094757e+02	-1.25889484232648e+02	-1.21514875927518e+02	-1.17439657654938e+02	-1.10758404048569e+02	-1.07097525829296e+02	-1.00570289054813e+02	-9.56602743630107e+01	-9.53142720719117e+01	-1.03098608929884e+02	-1.08759788424320e+02	-1.12158803952108e+02	-1.12348856760250e+02	-1.17237293268681e+02	-1.23030016895920e+02	-1.69258310334363e+02	-2.23445986126785e+02	-2.42169800401564e+02	-2.46158841009250e+02	-2.51584259234239e+02	-2.53933173215505e+02	-2.53871455129199e+02	-2.55001164166595e+02	-2.56240617571416e+02	-2.56857148819859e+02	-2.56639986006372e+02	-2.56091673646880e+02	-2.57684376255993e+02	
-2.55177067099078e+02	-2.55151075695261e+02	-2.54136878529823e+02	-2.53529199453671e+02	-2.52470030281081e+02	-2.53046104977371e+02	-2.51124731302909e+02	-2.49824098956081e+02	-2.50330926565635e+02	-2.43472835702963e+02	-2.38954096710200e+02	-2.21342470889289e+02	-1.62612749793578e+02	-1.12208748195636e+02	-1.13807660357504e+02	-1.10011962935904e+02	-1.05734646526380e+02	-1.02572137445179e+02	-9.90300545620093e+01	-9.59857395098085e+01	-6.66388505885453e+01	-8.78511401001084e+01	-9.52859949026201e+01	-9.78847151593240e+01	-8.59396081031704e+01	-1.04544221661558e+02	-1.08095318619070e+02	-1.12819488246109e+02	-1.35984295028908e+02	-1.91598226026925e+02	-2.42169800401564e+02	-2.46158841009250e+02	-2.51584259234239e+02	-2.53933173215505e+02	-2.53871455129199e+02	-2.55001164166595e+02	-2.56240617571416e+02	-2.56857148819859e+02	-2.56639986006372e+02	-2.56091673646880e+02	-2.57684376255993e+02	
-2.55177067099078e+02	-2.55151075695261e+02	-2.54136878529823e+02	-2.53529199453671e+02	-2.52470030281081e+02	-2.53046104977371e+02	-2.51124731302909e+02	-2.49824098956081e+02	-2.50330926565635e+02	-2.43472835702963e+02	-2.38954096710200e+02	-1.85862978069745e+02	-1.31703571524667e+02	-1.04975397910916e+02	-1.02957325852073e+02	-9.77684145135037e+01	-9.54284808064769e+01	-6.66729158775289e+01	-7.15659357829661e+01	-8.82229550506262e+01	-6.66676953206066e+01	-6.66682672592211e+01	-6.66837828518798e+01	-7.17801605933018e+01	-7.83980582988883e+01	-9.68830265640329e+01	-9.96090965217984e+01	-1.05590712629560e+02	-1.12938018068822e+02	-1.58971104992441e+02	-2.06785041014503e+02	-2.46158841009250e+02	-2.51584259234239e+02	-2.53933173215505e+02	-2.53871455129199e+02	-2.55001164166595e+02	-2.56240617571416e+02	-2.56857148819859e+02	-2.56639986006372e+02	-2.56091673646880e+02	-2.57684376255993e+02	
-2.55177067099078e+02	-2.55151075695261e+02	-2.54136878529823e+02	-2.53529199453671e+02	-2.52470030281081e+02	-2.53046104977371e+02	-2.51124731302909e+02	-2.49824098956081e+02	-2.50330926565635e+02	-2.43472835702963e+02	-1.98440553612886e+02	-1.54267016665745e+02	-1.08682929764748e+02	-9.84081814566595e+01	-6.92171712413075e+01	-6.67225535015359e+01	-6.66768780701121e+01	-6.66669830253877e+01	-7.00397400094709e+01	-8.14282339303429e+01	-6.91730794150941e+01	-7.06154191451208e+01	-6.99779632995801e+01	-6.97579730348414e+01	-7.51667607900484e+01	-9.03775873283003e+01	-6.97267836028788e+01	-9.92309902289332e+01	-9.89586608568933e+01	-1.34757794605365e+02	-1.72621210846527e+02	-2.11288839329575e+02	-2.51584259234239e+02	-2.53933173215505e+02	-2.53871455129199e+02	-2.55001164166595e+02	-2.56240617571416e+02	-2.56857148819859e+02	-2.56639986006372e+02	-2.56091673646880e+02	-2.57684376255993e+02	
