# Table format: 0D
20
    1.00000000000000e+005 Pref             [PaA]
    1.00000000000000e+001 Tref             [degC]
    8.54828254889683e+002 Rhoref           [kg/m**3]
    5.91607577857251e-002 Muref            [kg/m/s]
    1.90354706293552e+003 Cpref            [J/kg/K]
    1.37040090098767e-001 Lambdaref        [W/m/K]
    0.00000000000000e+000 Pmin             [PaA]
    500.000000000000e+005 Pmax             [PaA]
    -5.0000000000000e+001 Tmin             [degC]
    2.00000000000000e+002 Tmax             [degC]
    7.56221289866635e-004 T      for vs          
    7.33691619227119e-007 T2     for vs          
   -6.54296789236992e-010 P      for vs          
   -3.40258406220820e-012 PT     for vs          
    2.05190311323695e-018 P2     for vs          
   -2.38402826198948e-002 T      for mu          
    1.06682091175754e-004 T2     for mu          
    8.72452659144570e-009 P      for mu          
    1.86211342890411e-003 T      for cp          
    2.39042723739486e-008 T2     for cp          
   -9.01780970735766e-013 PT     for cp          
   -2.55339281863832e-010 P      for cp          
   -8.52693426731602e-004 T      for lambda      
    1.59765605865265e-009 T2     for lambda      
    1.00886477272469e-020 P2T    for vs          
   -1.57045642257184e-023 P2T2   for vs          
   -1.23711426352748e-016 PT2    for vs          
    0.00000000000000e+000 P3     for vs          
    0.00000000000000e+000 P3T    for vs          
    0.00000000000000e+000 P3T2   for vs          
   -8.03858197800453e-012 PT     for mu          
    0.00000000000000e+000 P2     for mu          
    0.00000000000000e+000 P2T    for mu          
    0.00000000000000e+000 P2T2   for mu          
   -2.43923798352573e-013 PT2    for mu          
    0.00000000000000e+000 P3     for mu          
    0.00000000000000e+000 P3T    for mu          
    0.00000000000000e+000 P3T2   for mu          
   -1.73496814331823e-007 T3     for mu          
    7.32682136569416e-016 PT3    for mu          
    0.00000000000000e+000 P2T3   for mu          
    0.00000000000000e+000 P3T3   for mu          
   -3.20128640590231e-021 P      for lambda      
    1.61188677698214e-022 PT     for lambda      
    1.38043539414209e-028 P2     for lambda      
   -7.50798327744536e-030 P2T    for lambda      
    3.06116161076364e-032 P2T2   for lambda      
   -6.51251067329780e-025 PT2    for lambda      
   -1.58845002119754e-036 P3     for lambda      
    8.75073558459542e-038 P3T    for lambda      
   -3.57308691219902e-040 P3T2   for lambda      
    2.15270189378315e-020 P2     for cp          
    7.60269077797335e-023 P2T    for cp          
    1.82183360887759e-027 P3     for cp          
    6.43416425526255e-030 P3T    for cp          
    0.00000000000000e+000 P4     for cp          
    0.00000000000000e+000 P4T    for cp          
