#	Table	format:	1D
	0.000000000E+00	0.000000000E+00	
	2.000000000E+02	9.700000000E-02	
	2.700000000E+02	1.500000000E-01	
	3.500000000E+02	2.100000000E-01	
	4.400000000E+02	3.200000000E-01	
	5.300000000E+02	4.400000000E-01	
	6.100000000E+02	5.000000000E-01	
	6.600000000E+02	5.300000000E-01	
	7.800000000E+02	5.800000000E-01	
	1.060000000E+03	6.300000000E-01	
	2.500000000E+03	7.200000000E-01	
	5.065000000E+03	8.300000000E-01	
	8.700000000E+03	9.000000000E-01	
	1.094250000E+04	9.150000000E-01	
	1.318500000E+04	9.300000000E-01	
	1.542750000E+04	9.450000000E-01
	1.767000000E+04	9.600000000E-01
	2.611000000E+04	9.800000000E-01
	3.455000000E+04	1.000000000E+00
	3.827500000E+04	1.010000000E+00
	4.200000000E+04	1.020000000E+00
	6.287500000E+04	1.035000000E+00
	8.375000000E+04	1.050000000E+00
	1.033912500E+05	1.053375000E+00
	1.230325000E+05	1.056750000E+00
	1.623150000E+05	1.063500000E+00
	2.015975000E+05	1.070250000E+00
	2.212387500E+05	1.073625000E+00
	2.310593800E+05	1.075312500E+00
	2.359696900E+05	1.076156300E+00
	2.384248400E+05	1.076578100E+00
	2.408800000E+05	1.077000000E+00
	2.437734000E+05	1.077002900E+00
	2.466668000E+05	1.077005900E+00
	2.524535900E+05	1.077011700E+00
	2.582403900E+05	1.077017600E+00
	2.640271900E+05	1.077023400E+00
	2.756007800E+05	1.077035200E+00
	2.871743800E+05	1.077046900E+00
	3.103215600E+05	1.077070300E+00
	3.334687500E+05	1.077093800E+00
	3.797631300E+05	1.077140600E+00
	4.260575000E+05	1.077187500E+00
	5.186462500E+05	1.077281300E+00
	6.112350000E+05	1.077375000E+00
	7.964125000E+05	1.077562500E+00
	9.815900000E+05	1.077750000E+00
	1.351945000E+06	1.078125000E+00
	1.537122500E+06	1.078312500E+00
	1.722300000E+06	1.078500000E+00
	2.092655000E+06	1.078875000E+00
	2.463010000E+06	1.079250000E+00
	2.833365000E+06	1.079625000E+00
	3.203720000E+06	1.080000000E+00
	3.574073750E+06	1.080375000E+00
	3.944427500E+06	1.080750000E+00
	4.314781250E+06	1.081125000E+00
	4.685135000E+06	1.081500000E+00
	5.055488750E+06	1.081875000E+00
	5.425842500E+06	1.082250000E+00
	5.796196250E+06	1.082625000E+00
	6.166550000E+06	1.083000000E+00


