# Table format: 3D
# table_unit = K
# axis1_unit = m
# axis2_unit = null
# axis3_unit = null
# This table contains the values of the envelope temperauture data extracted from Global Climatic Data for Developing Military Products (MIL-HDBK-310)
# geometric altitude
# frequency of occurrence
# extreme value
27
5
4

0	1000	2000	4000	6000	8000	10000	12000	14000	16000	18000	20000	22000	24000	26000	28000	30000	35000	40000	45000	50000	55000	60000	65000	70000	75000	80000
0 1 5 10 20
1 2 3 4

331.15	314.15	305.15	292.15	281.15	269.15	260.15	251.15	243.15	238.15	238.15	242.15	244.15	240.15	246.15	251.15	256.15	256.15	256.15	256.15	256.15	256.15	256.15	256.15	256.15	256.15	256.15
322.15	313.15	303.15	290.15	279.15	268.15	260.15	251.15	243.15	236.15	236.15	241.15	243.15	240.15	245.15	250.15	255.15	276.15	298.15	303.15	310.15	292.15	302.15	310.15	297.15	289.15	278.15
319.15	312.15	302.15	287.15	277.15	267.15	256.15	249.15	238.15	234.15	235.15	235.15	235.15	235.15	236.15	245.15	250.15	250.15	250.15	250.15	250.15	250.15	250.15	250.15	250.15	250.15	250.15
318.15	311.15	301.15	286.15	276.15	264.15	254.15	243.15	237.15	234.15	234.15	234.15	235.15	234.15	236.15	240.15	245.15	260.15	278.15	288.15	293.15	281.15	270.15	276.15	277.15	259.15	254.15
307.15	307.15	300.15	285.15	273.15	262.15	253.15	242.15	233.15	233.15	233.15	233.15	234.15	234.15	235.15	237.15	240.15	240.15	240.15	240.15	240.15	240.15	240.15	240.15	240.15	240.15	240.15
205.15	219.15	226.15	220.15	212.15	205.15	198.15	193.15	196.15	186.15	185.15	186.15	188.15	187.15	189.15	189.15	188.15	188.15	188.15	188.15	188.15	188.15	188.15	188.15	188.15	188.15	188.15
212.15	220.15	232.15	225.15	216.15	207.15	199.15	200.15	198.15	187.15	187.15	187.15	189.15	188.15	189.15	190.15	190.15	192.15	202.15	203.15	203.15	199.15	199.15	186.15	166.15	153.15	128.15
216.15	222.15	237.15	227.15	217.15	208.15	201.15	201.15	199.15	189.15	189.15	190.15	190.15	190.15	190.15	192.15	192.15	192.15	192.15	192.15	192.15	192.15	192.15	192.15	192.15	192.15	192.15
219.15	223.15	239.15	229.15	219.15	209.15	203.15	203.15	200.15	190.15	191.15	192.15	191.15	191.15	192.15	194.15	194.15	200.15	211.15	219.15	224.15	221.15	221.15	198.15	183.15	163.15	140.15
222.15	224.15	242.15	233.15	222.15	212.15	208.15	206.15	203.15	191.15	192.15	202.15	191.15	192.15	193.15	195.15	197.15	197.15	197.15	197.15	197.15	197.15	197.15	197.15	197.15	197.15	197.15
205.15	230.15	228.15	220.15	224.15	230.15	224.15	212.15	204.15	197.15	193.15	203.15	207.15	214.15	233.15	235.15	238.15	238.15	238.15	238.15	238.15	238.15	238.15	238.15	238.15	238.15	238.15
212.15	236.15	234.15	226.15	229.15	226.15	224.15	207.15	204.15	199.15	190.15	197.15	202.15	214.15	233.15	235.15	238.15	256.15	268.15	280.15	285.15	278.15	257.15	225.15	195.15	179.15	171.15
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
302.15	298.15	303.15	285.15	256.15	222.15	218.15	225.15	225.15	230.15	232.15	246.15	241.15	234.15	228.15	229.15	231.15	231.15	231.15	231.15	231.15	231.15	231.15	231.15	231.15	231.15	231.15
321.15	297.15	303.15	284.15	271.15	228.15	229.15	224.15	225.15	230.15	230.15	246.15	236.15	234.15	228.15	229.15	231.15	215.15	230.15	253.15	256.15	253.15	249.15	226.15	210.15	205.15	211.15
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
