# Table format: 4D
# table_unit = kg/m**3
# axis1_unit = m
# axis2_unit = null
# axis3_unit = null
# axis4_unit = null
# geometric altitude
# extreme altitude 
# percentage
# extreme value
# This table contains the logarithmic values of the profile density data extracted from Global Climatic Data for Developing Military Products (MIL-HDBK-310), 23 June 1997, Department of Defense, Washington, D.C.
41
5
4
2

0	2000	4000	6000	8000	10000	12000	14000	16000	18000	20000	22000	24000	26000	28000	30000	32000	34000	36000	38000	40000	42000	44000	46000	48000	50000	52000	54000	56000	58000	60000	62000	64000	66000	68000	70000	72000	74000	76000	78000	80000
10 20 30 40 50
1 2 3 4
1 10

1.947E-01	-5.066E-02	-2.519E-01	-4.552E-01	-6.522E-01	-8.618E-01	-1.086E+00	-1.333E+00	-1.618E+00	-1.972E+00	-2.334E+00	-2.669E+00	-2.997E+00	-3.318E+00	-3.634E+00	-3.944E+00	-4.249E+00	-4.549E+00	-4.843E+00	-5.132E+00	-5.417E+00	-5.698E+00	-5.973E+00	-6.245E+00	-6.505E+00	-6.758E+00	-6.998E+00	-7.239E+00	-7.482E+00	-7.723E+00	-7.971E+00	-8.225E+00	-8.487E+00	-8.757E+00	-9.034E+00	-9.320E+00	-9.625E+00	-9.944E+00	-1.027E+01	-1.059E+01	-1.092E+01
1.596E-01	-3.749E-02	-2.421E-01	-4.540E-01	-6.737E-01	-8.892E-01	-1.104E+00	-1.336E+00	-1.586E+00	-1.897E+00	-2.332E+00	-2.699E+00	-3.038E+00	-3.369E+00	-3.693E+00	-4.010E+00	-4.320E+00	-4.624E+00	-4.922E+00	-5.214E+00	-5.500E+00	-5.781E+00	-6.056E+00	-6.326E+00	-6.577E+00	-6.827E+00	-7.077E+00	-7.316E+00	-7.546E+00	-7.782E+00	-8.024E+00	-8.273E+00	-8.530E+00	-8.794E+00	-9.065E+00	-9.345E+00	-9.635E+00	-9.942E+00	-1.028E+01	-1.061E+01	-1.095E+01
4.395E-01	1.044E-01	-1.537E-01	-4.120E-01	-7.038E-01	-1.026E+00	-1.347E+00	-1.665E+00	-1.981E+00	-2.317E+00	-2.641E+00	-2.931E+00	-3.196E+00	-3.466E+00	-3.740E+00	-4.030E+00	-4.325E+00	-4.619E+00	-4.914E+00	-5.208E+00	-5.502E+00	-5.796E+00	-6.089E+00	-6.383E+00	-6.686E+00	-6.987E+00	-7.283E+00	-7.576E+00	-7.852E+00	-8.126E+00	-8.402E+00	-8.679E+00	-8.958E+00	-9.242E+00	-9.527E+00	-9.812E+00	-1.009E+01	-1.037E+01	-1.065E+01	-1.093E+01	-1.122E+01
2.327E-01	0.000E+00	-2.062E-01	-4.228E-01	-6.509E-01	-8.921E-01	-1.210E+00	-1.516E+00	-1.819E+00	-2.119E+00	-2.419E+00	-2.733E+00	-3.040E+00	-3.341E+00	-3.636E+00	-3.924E+00	-4.205E+00	-4.479E+00	-4.748E+00	-5.014E+00	-5.276E+00	-5.534E+00	-5.789E+00	-6.040E+00	-6.278E+00	-6.514E+00	-6.749E+00	-6.972E+00	-7.190E+00	-7.414E+00	-7.642E+00	-7.876E+00	-8.116E+00	-8.356E+00	-8.589E+00	-8.834E+00	-9.093E+00	-9.365E+00	-9.655E+00	-9.964E+00	-1.029E+01
2.046E-01	9.950E-03	-1.937E-01	-4.093E-01	-6.373E-01	-9.150E-01	-1.229E+00	-1.527E+00	-1.824E+00	-2.123E+00	-2.425E+00	-2.729E+00	-3.031E+00	-3.329E+00	-3.631E+00	-3.929E+00	-4.222E+00	-4.509E+00	-4.795E+00	-5.076E+00	-5.349E+00	-5.615E+00	-5.856E+00	-6.093E+00	-6.329E+00	-6.561E+00	-6.790E+00	-7.020E+00	-7.254E+00	-7.490E+00	-7.728E+00	-7.969E+00	-8.197E+00	-8.418E+00	-8.649E+00	-8.891E+00	-9.146E+00	-9.414E+00	-9.698E+00	-1.000E+01	-1.032E+01
4.744E-01	1.169E-01	-1.395E-01	-4.113E-01	-7.197E-01	-1.029E+00	-1.335E+00	-1.648E+00	-1.966E+00	-2.307E+00	-2.648E+00	-2.989E+00	-3.360E+00	-3.718E+00	-4.063E+00	-4.397E+00	-4.720E+00	-5.032E+00	-5.329E+00	-5.616E+00	-5.897E+00	-6.173E+00	-6.442E+00	-6.692E+00	-6.938E+00	-7.179E+00	-7.422E+00	-7.669E+00	-7.918E+00	-8.170E+00	-8.425E+00	-8.667E+00	-8.918E+00	-9.192E+00	-9.483E+00	-9.774E+00	-1.006E+01	-1.034E+01	-1.063E+01	-1.092E+01	-1.121E+01
