# Table format: XY
# axis1_unit = m
# axis2_unit = K
# axis3_unit = Pa
# axis4_unit = kg/m**3
# axis5_unit = m/s
# axis6_unit = Pa*s
    -4.57200000000000e+003     2.46650000000000e+002     1.01324812600000e+005     1.43120904600000e+000     3.14827920000000e+002     1.57703000000000e-005
    -4.26720000000000e+003     2.46650000000000e+002     1.01324812600000e+005     1.43120904600000e+000     3.14827920000000e+002     1.57703000000000e-005
    -3.96240000000000e+003     2.46650000000000e+002     1.01324812600000e+005     1.43120904600000e+000     3.14827920000000e+002     1.57703000000000e-005
    -3.65760000000000e+003     2.46650000000000e+002     1.01324812600000e+005     1.43120904600000e+000     3.14827920000000e+002     1.57703000000000e-005
    -3.35280000000000e+003     2.46650000000000e+002     1.01324812600000e+005     1.43120904600000e+000     3.14827920000000e+002     1.57703000000000e-005
    -3.04800000000000e+003     2.46650000000000e+002     1.01324812600000e+005     1.43120904600000e+000     3.14827920000000e+002     1.57703000000000e-005
    -2.74320000000000e+003     2.46650000000000e+002     1.01324812600000e+005     1.43120904600000e+000     3.14827920000000e+002     1.57703000000000e-005
    -2.43840000000000e+003     2.46650000000000e+002     1.01324812600000e+005     1.43120904600000e+000     3.14827920000000e+002     1.57703000000000e-005
    -2.13360000000000e+003     2.46650000000000e+002     1.01324812600000e+005     1.43120904600000e+000     3.14827920000000e+002     1.57703000000000e-005
    -1.82880000000000e+003     2.46650000000000e+002     1.01324812600000e+005     1.43120904600000e+000     3.14827920000000e+002     1.57703000000000e-005
    -1.52400000000000e+003     2.46650000000000e+002     1.01324812600000e+005     1.43120904600000e+000     3.14827920000000e+002     1.57703000000000e-005
    -1.21920000000000e+003     2.46650000000000e+002     1.01324812600000e+005     1.43120904600000e+000     3.14827920000000e+002     1.57703000000000e-005
    -9.14400000000000e+002     2.46650000000000e+002     1.01324812600000e+005     1.43120904600000e+000     3.14827920000000e+002     1.57703000000000e-005
    -6.09600000000000e+002     2.46650000000000e+002     1.01324812600000e+005     1.43120904600000e+000     3.14827920000000e+002     1.57703000000000e-005
