# Table format: XY
#      XFOIL         Version 6.96
# 
#Calculated polar for: NACA 2412                                       
# 
#1 1 Reynolds number fixed          Mach number fixed         
# 
#xtrf =   1.000 (top)        1.000 (bottom)  
#Mach =   0.000     Re =     3.000 e 6     Ncrit =   9.000
# 
#  alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
# ------ -------- --------- --------- -------- -------- --------
   0.000   0.2423   0.00547   0.00080  -0.0527   0.5280   0.3930
   0.500   0.2980   0.00532   0.00082  -0.0527   0.4997   0.4903
   1.000   0.3540   0.00519   0.00087  -0.0528   0.4754   0.5798
   1.500   0.4098   0.00514   0.00095  -0.0527   0.4497   0.6630
   2.000   0.4655   0.00508   0.00104  -0.0526   0.4260   0.7427
   2.500   0.5203   0.00508   0.00116  -0.0523   0.3988   0.8226
   3.000   0.5735   0.00515   0.00131  -0.0516   0.3653   0.8942
   3.500   0.6245   0.00536   0.00151  -0.0504   0.3270   0.9480
   4.000   0.6779   0.00571   0.00172  -0.0497   0.2859   0.9791
   4.500   0.7383   0.00617   0.00198  -0.0509   0.2388   0.9934
   5.000   0.8065   0.00678   0.00233  -0.0539   0.1853   0.9980
   5.500   0.8646   0.00737   0.00269  -0.0547   0.1406   1.0000
   6.000   0.9111   0.00789   0.00304  -0.0529   0.1082   1.0000
   6.500   0.9592   0.00841   0.00343  -0.0514   0.0830   1.0000
   7.000   1.0088   0.00895   0.00384  -0.0503   0.0639   1.0000
   7.500   1.0589   0.00948   0.00429  -0.0494   0.0502   1.0000
   8.000   1.1094   0.01001   0.00474  -0.0486   0.0406   1.0000
   8.500   1.1598   0.01053   0.00522  -0.0477   0.0340   1.0000
   9.000   1.2095   0.01108   0.00574  -0.0468   0.0289   1.0000
   9.500   1.2585   0.01168   0.00630  -0.0458   0.0248   1.0000
  10.000   1.3071   0.01225   0.00686  -0.0448   0.0223   1.0000
  10.500   1.3546   0.01287   0.00749  -0.0437   0.0200   1.0000
  11.000   1.4004   0.01358   0.00819  -0.0423   0.0178   1.0000
  11.500   1.4454   0.01426   0.00890  -0.0408   0.0165   1.0000
  12.000   1.4881   0.01504   0.00968  -0.0389   0.0150   1.0000
  12.500   1.5281   0.01589   0.01057  -0.0367   0.0139   1.0000
  13.000   1.5643   0.01670   0.01142  -0.0338   0.0132   1.0000
  13.500   1.5951   0.01772   0.01247  -0.0302   0.0124   1.0000
  14.000   1.6216   0.01903   0.01385  -0.0264   0.0114   1.0000
  14.500   1.6511   0.02024   0.01513  -0.0233   0.0111   1.0000
  15.000   1.6774   0.02172   0.01668  -0.0202   0.0107   1.0000
  15.500   1.7000   0.02357   0.01859  -0.0171   0.0101   1.0000
  16.000   1.7171   0.02597   0.02108  -0.0141   0.0095   1.0000
  16.500   1.7300   0.02893   0.02416  -0.0115   0.0091   1.0000
  17.000   1.7453   0.03194   0.02727  -0.0096   0.0089   1.0000
  17.500   1.7565   0.03555   0.03100  -0.0082   0.0087   1.0000
  18.000   1.7624   0.03993   0.03551  -0.0073   0.0085   1.0000
  18.500   1.7637   0.04515   0.04086  -0.0071   0.0083   1.0000
  19.000   1.7588   0.05139   0.04725  -0.0076   0.0081   1.0000
  19.500   1.7478   0.05879   0.05480  -0.0089   0.0079   1.0000
  20.000   1.7281   0.06761   0.06379  -0.0111   0.0077   1.0000
