# Table format: 4D
# table_unit = K
# axis1_unit = m
# axis2_unit = null
# axis3_unit = null
# axis4_unit = null
# This table contains the values of the profile temperatures data extracted from Global Climatic Data for Developing Military Products (MIL-HDBK-310)
# geometric altitude
# extreme altitude
# extreme value 
# percentage


41
5
4
2

0	2000	4000	6000	8000	10000	12000	14000	16000	18000	20000	22000	24000	26000	28000	30000	32000	34000	36000	38000	40000	42000	44000	46000	48000	50000	52000	54000	56000	58000	60000	62000	64000	66000	68000	70000	72000	74000	76000	78000	80000
5 10 20 30 40
1 2 3 4
1 10


290.150	294.163	284.183	272.745	256.796	240.858	224.930	210.558	201.411	204.873	212.817	216.953	220.920	224.885	228.847	232.806	236.763	240.718	244.670	248.620	252.567	256.512	260.454	264.394	266.150	266.150	262.796	258.473	253.609	246.936	240.268	233.604	226.943	220.287	213.636	206.988	202.695	200.156	197.619	195.084	192.550
299.150	289.177	279.210	269.249	259.295	245.985	229.084	212.193	195.314	186.150	202.781	211.443	216.197	220.948	225.696	230.441	235.183	239.922	244.659	249.392	254.122	258.849	263.574	268.150	268.150	268.150	268.150	264.940	258.077	251.217	244.362	237.511	230.664	223.822	216.984	210.150	203.320	198.150	198.150	198.150	198.150
228.150	238.650	231.113	221.103	216.150	217.659	219.657	221.654	223.650	232.225	240.796	243.192	239.210	235.232	231.255	230.150	230.150	230.150	230.150	230.150	230.150	230.150	230.150	230.150	232.791	235.753	238.713	241.671	240.994	239.615	238.237	236.860	235.484	235.150	235.150	235.150	233.501	231.149	228.799	226.450	224.102
279.150	275.124	262.106	249.097	236.095	223.162	226.358	227.751	228.549	229.346	230.143	235.087	240.063	245.035	250.005	254.971	259.386	263.156	266.923	270.688	274.451	278.211	281.969	285.724	286.150	286.150	286.150	282.406	276.100	269.799	263.501	257.207	250.917	243.303	231.524	219.752	207.988	196.231	184.481	172.739	161.004
287.150	273.131	259.121	245.120	231.128	225.651	228.646	228.650	228.650	228.650	229.814	232.203	234.589	236.975	241.209	246.172	251.132	256.089	262.535	269.664	276.788	283.908	284.650	284.650	284.650	282.861	279.904	276.948	273.994	271.042	268.092	265.144	258.034	246.648	235.270	223.898	212.534	201.176	189.826	178.483	167.146
220.150	234.142	224.860	216.141	214.141	211.633	207.637	203.643	199.652	199.650	199.650	199.650	207.129	214.688	222.243	229.792	237.337	244.877	250.612	255.567	260.518	265.467	269.650	269.650	268.438	265.279	262.122	258.967	255.814	252.663	249.317	241.646	233.979	230.150	230.150	230.150	228.507	226.155	223.805	221.456	219.109
237.150	259.625	247.607	233.074	216.070	199.159	201.150	201.150	201.150	201.150	203.319	207.701	212.080	216.456	220.830	225.201	229.569	233.934	238.297	240.470	241.658	242.846	244.033	245.219	246.404	247.589	248.773	249.956	251.139	248.299	242.394	241.771	242.557	243.343	244.128	244.913	244.055	242.487	240.920	239.354	237.789
