# Table format: 1D
# AnglePCyl 	PCyl_raw
0  1.24977
0.25  1.28621
0.45  1.31927
0.65  1.34663
0.85  1.36638
1.05  1.37712
1.25  1.37805
1.45  1.36904
1.65  1.35058
1.85  1.3238
2.05  1.29031
2.25  1.25215
2.45  1.21161
2.65  1.17112
2.85  1.13301
3.05  1.09945
3.25  1.07227
3.45  1.05283
3.65  1.04199
3.85  1.04005
4.05  1.04673
4.25  1.06123
4.45  1.08227
4.65  1.10823
4.85  1.13719
5.05  1.16714
5.25  1.19606
5.45  1.22206
5.65  1.2435
5.85  1.25907
6.05  1.26786
6.25  1.26943
6.45  1.26376
6.65  1.2513
6.85  1.23288
7.05  1.20965
7.25  1.18302
7.45  1.15452
7.65  1.12574
7.85  1.09822
8.05  1.07333
8.25  1.05225
8.45  1.03585
8.65  1.0247
8.85  1.019
9.05  1.01864
9.25  1.02317
9.45  1.03185
9.65  1.04376
9.85  1.05779
10.05  1.07275
10.25  1.08746
10.45  1.10079
10.65  1.11175
10.85  1.11952
11.05  1.12352
11.25  1.12344
11.45  1.11922
11.65  1.11108
11.85  1.09947
12.05  1.08507
12.25  1.06872
12.45  1.05137
12.65  1.03402
12.85  1.01767
13.05  1.00324
13.25  0.991517
13.45  0.983128
13.65  0.978475
13.85  0.977726
14.05  0.980805
14.25  0.987394
14.45  0.996956
14.65  1.00877
14.85  1.02197
15.05  1.03562
15.25  1.04874
15.45  1.06041
15.65  1.0698
15.85  1.07623
16.05  1.07922
16.25  1.07853
16.45  1.07414
16.65  1.06632
16.85  1.05553
17.05  1.04247
17.25  1.02795
17.45  1.01291
17.65  0.998317
17.85  0.985107
18.05  0.974116
18.25  0.966024
18.45  0.96131
18.65  0.960208
18.85  0.962701
19.05  0.968509
19.25  0.977114
19.45  0.987795
19.65  0.999675
19.85  1.01178
20.05  1.02312
20.25  1.03275
20.45  1.03984
20.65  1.04372
20.85  1.04397
21.05  1.04042
21.25  1.03316
21.45  1.02256
21.65  1.00924
21.85  0.993996
22.05  0.977801
22.25  0.961686
22.45  0.946694
22.65  0.933795
22.85  0.923821
23.05  0.917407
23.25  0.914937
23.45  0.916523
23.65  0.921991
23.85  0.930889
24.05  0.942522
24.25  0.955995
24.45  0.970271
24.65  0.984248
24.85  0.996829
25.05  1.007
25.25  1.01389
25.45  1.01684
25.65  1.01545
25.85  1.0096
26.05  0.99945
26.25  0.985446
26.45  0.968282
26.65  0.948856
26.85  0.928214
27.05  0.907481
27.25  0.887792
27.45  0.870224
27.65  0.855724
27.85  0.845059
28.05  0.838769
28.25  0.837139
28.45  0.840187
28.65  0.847665
28.85  0.859081
29.05  0.873732
29.25  0.890749
29.45  0.909148
29.65  0.927892
29.85  0.945948
30.05  0.962344
30.25  0.976219
30.45  0.986869
30.65  0.993778
30.85  0.996638
31.05  0.995363
31.25  0.990078
31.45  0.981114
31.65  0.968978
31.85  0.954324
32.05  0.937913
32.25  0.920574
32.45  0.903158
32.65  0.886494
32.85  0.871355
33.05  0.858414
33.25  0.848216
33.45  0.841156
33.65  0.837461
33.85  0.837178
34.05  0.840178
34.25  0.846161
34.45  0.85467
34.65  0.865117
34.85  0.876802
35.05  0.888958
35.25  0.900777
35.45  0.911455
35.65  0.920234
35.85  0.926432
36.05  0.929489
36.25  0.928994
36.45  0.92471
36.65  0.916591
36.85  0.904795
37.05  0.889677
37.25  0.87178
37.45  0.851811
37.65  0.830612
37.85  0.809115
38.05  0.788301
38.25  0.769143
38.45  0.752555
38.65  0.739343
38.85  0.730154
39.05  0.725436
39.25  0.725409
39.45  0.730048
39.65  0.739075
39.85  0.75197
40.05  0.767995
40.25  0.786232
40.45  0.805631
40.65  0.825065
40.85  0.8434
41.05  0.859553
41.25  0.872558
41.45  0.881628
41.65  0.886196
41.85  0.885956
42.05  0.880879
42.25  0.871223
42.45  0.857515
42.65  0.840525
42.85  0.82122
43.05  0.800706
43.25  0.780167
43.45  0.76079
43.65  0.743698
43.85  0.729878
44.05  0.720123
44.25  0.714985
44.45  0.71474
44.65  0.719372
44.85  0.728575
45.05  0.741767
45.25  0.758133
45.45  0.776669
45.65  0.796246
45.85  0.815676
46.05  0.833789
46.25  0.849501
46.45  0.861878
46.65  0.870197
46.85  0.873984
47.05  0.873045
47.25  0.867473
47.45  0.857645
47.65  0.844193
47.85  0.827968
48.05  0.809984
48.25  0.791356
48.45  0.773233
48.65  0.756727
48.85  0.742846
49.05  0.732434
49.25  0.726122
49.45  0.724292
49.65  0.727056
49.85  0.73425
50.05  0.745452
50.25  0.760004
50.45  0.777062
50.65  0.795641
50.85  0.814683
51.05  0.833116
51.25  0.849924
51.45  0.864204
51.65  0.875218
51.85  0.882438
52.05  0.885571
52.25  0.884573
52.45  0.879648
52.65  0.871231
52.85  0.859954
53.05  0.846607
53.25  0.832086
53.45  0.817335
53.65  0.803286
53.85  0.790806
54.05  0.780643
54.25  0.773384
54.45  0.769422
54.65  0.768937
54.85  0.771892
55.05  0.778038
55.25  0.786937
55.45  0.797994
55.65  0.810495
55.85  0.82366
56.05  0.836686
56.25  0.848804
56.45  0.859319
56.65  0.867655
56.85  0.873385
57.05  0.876251
57.25  0.876177
57.45  0.873266
57.65  0.867786
57.85  0.86015
58.05  0.850884
58.25  0.840591
58.45  0.829908
58.65  0.819473
58.85  0.809877
59.05  0.801637
59.25  0.795165
59.45  0.790749
59.65  0.788541
59.85  0.788554
60.05  0.790671
60.25  0.794657
60.45  0.800179
60.65  0.806837
60.85  0.814186
61.05  0.82177
61.25  0.829149
61.45  0.835925
61.65  0.841764
61.85  0.846411
62.05  0.849701
62.25  0.851564
62.45  0.852019
62.65  0.851173
62.85  0.8492
63.05  0.846335
