# Table format: 1D
# AnglePCyl 	PCyl_raw
70.65  1.32465
70.85  1.32735
71.05  1.3299
71.25  1.33225
71.45  1.33434
71.65  1.33612
71.85  1.33758
72.05  1.33869
72.25  1.33945
72.45  1.33987
72.65  1.33999
72.85  1.33985
73.05  1.33951
73.25  1.33902
73.45  1.33847
73.65  1.3379
73.85  1.33739
74.05  1.33698
74.25  1.33673
74.45  1.33665
74.65  1.33677
74.85  1.33708
75.05  1.33757
75.25  1.3382
75.45  1.33893
75.65  1.33972
75.85  1.3405
76.05  1.34123
76.25  1.34184
76.45  1.3423
76.65  1.34256
76.85  1.34259
77.05  1.34237
77.25  1.3419
77.45  1.34118
77.65  1.34023
77.85  1.33908
78.05  1.33776
78.25  1.33631
78.45  1.33477
78.65  1.33318
78.85  1.33158
79.05  1.33
79.25  1.32848
79.45  1.32705
79.65  1.3257
79.85  1.32447
80.05  1.32335
80.25  1.32234
80.45  1.32144
80.65  1.32063
80.85  1.3199
81.05  1.31924
81.25  1.31862
81.45  1.31804
81.65  1.31748
81.85  1.31691
82.05  1.31633
82.25  1.31573
82.45  1.31509
82.65  1.31439
82.85  1.31365
83.05  1.31284
83.25  1.31196
83.45  1.31102
83.65  1.31001
83.85  1.30894
84.05  1.30782
84.25  1.30665
84.45  1.30544
84.65  1.30421
84.85  1.30298
85.05  1.30175
85.25  1.30054
85.45  1.29937
85.65  1.29824
85.85  1.29716
86.05  1.29615
86.25  1.2952
86.45  1.29431
86.65  1.29347
86.85  1.29268
87.05  1.29193
87.25  1.29119
87.45  1.29046
87.65  1.28973
87.85  1.28898
88.05  1.28821
88.25  1.28742
88.45  1.2866
88.65  1.28576
88.85  1.28492
89.05  1.28408
89.25  1.28326
89.45  1.28248
89.65  1.28177
89.85  1.28112
90.05  1.28057
90.25  1.28013
90.45  1.2798
90.65  1.27958
90.85  1.27947
91.05  1.27946
91.25  1.27954
91.45  1.27969
91.65  1.27989
91.85  1.28012
92.05  1.28037
92.25  1.2806
92.45  1.28081
92.65  1.28099
92.85  1.28113
93.05  1.28122
93.25  1.28128
93.45  1.28132
93.65  1.28134
93.85  1.28136
94.05  1.28141
94.25  1.28149
94.45  1.28163
94.65  1.28183
94.85  1.28211
95.05  1.28247
95.25  1.28291
95.45  1.28342
95.65  1.28401
95.85  1.28464
96.05  1.28532
96.25  1.28601
96.45  1.28671
96.65  1.2874
96.85  1.28807
97.05  1.28869
97.25  1.28928
97.45  1.28981
97.65  1.2903
97.85  1.29075
98.05  1.29115
98.25  1.29153
98.45  1.2919
98.65  1.29225
98.85  1.29261
99.05  1.29299
99.25  1.29338
99.45  1.2938
99.65  1.29425
99.85  1.29473
100.05  1.29524
100.25  1.29578
100.45  1.29633
100.65  1.29691
100.85  1.29749
101.05  1.29809
101.25  1.29869
101.45  1.2993
101.65  1.29992
101.85  1.30054
102.05  1.30116
102.25  1.3018
102.45  1.30245
102.65  1.30311
102.85  1.30379
103.05  1.30448
103.25  1.30518
103.45  1.30589
103.65  1.3066
103.85  1.3073
104.05  1.308
104.25  1.30868
104.45  1.30933
104.65  1.30994
104.85  1.31052
105.05  1.31105
105.25  1.31152
105.45  1.31195
105.65  1.31232
105.85  1.31265
106.05  1.31293
106.25  1.31316
106.45  1.31337
106.65  1.31354
106.85  1.31369
107.05  1.31381
107.25  1.31392
107.45  1.31401
107.65  1.31408
107.85  1.31414
108.05  1.31417
108.25  1.31418
108.45  1.31415
108.65  1.31409
108.85  1.31399
109.05  1.31384
109.25  1.31364
109.45  1.31339
109.65  1.31307
109.85  1.3127
110.05  1.31228
110.25  1.31179
110.45  1.31125
110.65  1.31066
110.85  1.31001
111.05  1.30933
111.25  1.30859
111.45  1.30781
111.65  1.307
111.85  1.30614
112.05  1.30525
112.25  1.30433
112.45  1.30338
112.65  1.30239
112.85  1.30139
113.05  1.30035
113.25  1.2993
113.45  1.29824
113.65  1.29716
113.85  1.29607
114.05  1.29499
114.25  1.2939
114.45  1.29282
114.65  1.29175
114.85  1.29068
115.05  1.28962
115.25  1.28855
115.45  1.28749
115.65  1.28641
115.85  1.28532
116.05  1.28421
116.25  1.28306
116.45  1.28188
116.65  1.28065
116.85  1.27936
117.05  1.27803
117.25  1.27664
117.45  1.27519
117.65  1.2737
117.85  1.27217
118.05  1.27061
118.25  1.26903
118.45  1.26744
118.65  1.26586
118.85  1.26429
119.05  1.26276
119.25  1.26126
119.45  1.25981
119.65  1.25842
119.85  1.25707
120.05  1.25578
120.25  1.25453
120.45  1.25332
120.65  1.25214
120.85  1.25098
121.05  1.24982
121.25  1.24865
121.45  1.24746
121.65  1.24625
121.85  1.24499
122.05  1.24369
122.25  1.24234
122.45  1.24094
122.65  1.2395
122.85  1.23801
123.05  1.2365
123.25  1.23496
123.45  1.2334
123.65  1.23185
123.85  1.23029
124.05  1.22876
124.25  1.22724
124.45  1.22576
124.65  1.22431
124.85  1.22289
125.05  1.2215
125.25  1.22014
125.45  1.21881
125.65  1.2175
125.85  1.21621
126.05  1.21494
126.25  1.21368
126.45  1.21242
126.65  1.21117
126.85  1.20993
127.05  1.2087
127.25  1.20748
127.45  1.20628
127.65  1.2051
127.85  1.20395
128.05  1.20283
128.25  1.20175
128.45  1.20072
128.65  1.19974
128.85  1.1988
129.05  1.19791
129.25  1.19707
129.45  1.19628
129.65  1.19552
129.85  1.1948
130.05  1.19411
130.25  1.19345
130.45  1.1928
130.65  1.19217
130.85  1.19155
131.05  1.19095
131.25  1.19036
131.45  1.18978
131.65  1.18921
131.85  1.18867
132.05  1.18816
132.25  1.18767
132.45  1.18722
132.65  1.18681
132.85  1.18645
133.05  1.18613
133.25  1.18586
133.45  1.18563
133.65  1.18545
133.85  1.18532
134.05  1.18522
134.25  1.18515
134.45  1.18512
134.65  1.18511
134.85  1.18512
135.05  1.18514
135.25  1.18518
135.45  1.18523
135.65  1.1853
135.85  1.18537
136.05  1.18546
136.25  1.18555
136.45  1.18567
136.65  1.18579
136.85  1.18593
137.05  1.18609
137.25  1.18625
137.45  1.18643
137.65  1.18661
137.85  1.1868
138.05  1.18699
138.25  1.18717
138.45  1.18734
138.65  1.1875
138.85  1.18765
139.05  1.18778
139.25  1.18789
139.45  1.18799
139.65  1.18809
139.85  1.18818
140.05  1.18827
140.25  1.18837
140.45  1.18849
140.65  1.18862
140.85  1.18879
141.05  1.18898
141.25  1.18921
141.45  1.18947
141.65  1.18976
141.85  1.19009
142.05  1.19044
142.25  1.1908
142.45  1.19118
142.65  1.19156
142.85  1.19193
143.05  1.19229
143.25  1.19263
143.45  1.19294
143.65  1.19322
143.85  1.19347
144.05  1.19368
144.25  1.19386
144.45  1.19402
144.65  1.19414
144.85  1.19424
145.05  1.19432
145.25  1.19438
145.45  1.19443
145.65  1.19448
145.85  1.19451
146.05  1.19454
146.25  1.19457
146.45  1.19459
146.65  1.19461
146.85  1.19461
147.05  1.19461
147.25  1.19458
147.45  1.19455
147.65  1.19449
147.85  1.19441
148.05  1.19431
148.25  1.19419
148.45  1.19405
148.65  1.19388
148.85  1.19369
149.05  1.19349
149.25  1.19327
149.45  1.19303
149.65  1.19278
149.85  1.19251
150.05  1.19224
150.25  1.19197
150.45  1.19169
150.65  1.19141
150.85  1.19113
151.05  1.19085
151.25  1.19058
151.45  1.19032
151.65  1.19007
151.85  1.18983
152.05  1.1896
152.25  1.18939
152.45  1.18918
152.65  1.18899
152.85  1.1888
153.05  1.18861
153.25  1.18842
153.45  1.18822
153.65  1.188
153.85  1.18775
