# Table format: 2D
# table_unit = m**2/s
# axis1_unit = g/kg
# axis2_unit = degC
# axis1_token = Sal
# axis2_token = Temp
# axis3_token = Nu
# 
# 
14
14
     0.00000000000000e+00      1.00000000000000e+01      2.00000000000000e+01      3.00000000000000e+01      3.50000000000000e+01      4.00000000000000e+01      5.00000000000000e+01      6.00000000000000e+01      7.00000000000000e+01      8.00000000000000e+01      9.00000000000000e+01      1.00000000000000e+02      1.10000000000000e+02      1.20000000000000e+02
     0.00000000000000e+00      1.00000000000000e+01      2.00000000000000e+01      2.50000000000000e+01      3.00000000000000e+01      4.00000000000000e+01      5.00000000000000e+01      6.00000000000000e+01      7.00000000000000e+01      8.00000000000000e+01      9.00000000000000e+01      1.00000000000000e+02      1.10000000000000e+02      1.20000000000000e+02
     1.79200000000000e-06      1.80600000000000e-06      1.82300000000000e-06      1.84300000000000e-06      1.85400000000000e-06      1.86500000000000e-06      1.89000000000000e-06      1.91600000000000e-06      1.94600000000000e-06      1.97700000000000e-06      2.01100000000000e-06      2.04600000000000e-06      2.08400000000000e-06      2.12400000000000e-06
     1.30700000000000e-06      1.32000000000000e-06      1.33500000000000e-06      1.35100000000000e-06      1.36000000000000e-06      1.36900000000000e-06      1.38900000000000e-06      1.41000000000000e-06      1.43300000000000e-06      1.45700000000000e-06      1.48200000000000e-06      1.50900000000000e-06      1.53800000000000e-06      1.56700000000000e-06
     1.00400000000000e-06      1.01600000000000e-06      1.02900000000000e-06      1.04300000000000e-06      1.05000000000000e-06      1.05800000000000e-06      1.07500000000000e-06      1.09200000000000e-06      1.11000000000000e-06      1.13000000000000e-06      1.15000000000000e-06      1.17100000000000e-06      1.19300000000000e-06      1.21700000000000e-06
     8.93000000000000e-07      9.04000000000000e-07      9.17000000000000e-07      9.30000000000000e-07      9.37000000000000e-07      9.44000000000000e-07      9.59000000000000e-07      9.75000000000000e-07      9.92000000000000e-07      1.00900000000000e-06      1.02800000000000e-06      1.04700000000000e-06      1.06700000000000e-06      1.08700000000000e-06
     8.01000000000000e-07      8.12000000000000e-07      8.23000000000000e-07      8.36000000000000e-07      8.42000000000000e-07      8.49000000000000e-07      8.63000000000000e-07      8.77000000000000e-07      8.93000000000000e-07      9.09000000000000e-07      9.25000000000000e-07      9.43000000000000e-07      9.61000000000000e-07      9.80000000000000e-07
     6.58000000000000e-07      6.68000000000000e-07      6.78000000000000e-07      6.89000000000000e-07      6.95000000000000e-07      7.00000000000000e-07      7.12000000000000e-07      7.25000000000000e-07      7.38000000000000e-07      7.52000000000000e-07      7.66000000000000e-07      7.81000000000000e-07      7.96000000000000e-07      8.11000000000000e-07
     5.53000000000000e-07      5.62000000000000e-07      5.71000000000000e-07      5.81000000000000e-07      5.86000000000000e-07      5.91000000000000e-07      6.02000000000000e-07      6.13000000000000e-07      6.24000000000000e-07      6.36000000000000e-07      6.48000000000000e-07      6.61000000000000e-07      6.74000000000000e-07      6.87000000000000e-07
     4.74000000000000e-07      4.82000000000000e-07      4.91000000000000e-07      4.99000000000000e-07      5.04000000000000e-07      5.08000000000000e-07      5.18000000000000e-07      5.28000000000000e-07      5.38000000000000e-07      5.48000000000000e-07      5.59000000000000e-07      5.70000000000000e-07      5.81000000000000e-07      5.93000000000000e-07
     4.13000000000000e-07      4.20000000000000e-07      4.28000000000000e-07      4.36000000000000e-07      4.40000000000000e-07      4.44000000000000e-07      4.52000000000000e-07      4.61000000000000e-07      4.70000000000000e-07      4.79000000000000e-07      4.89000000000000e-07      4.98000000000000e-07      5.08000000000000e-07      5.19000000000000e-07
     3.65000000000000e-07      3.71000000000000e-07      3.78000000000000e-07      3.85000000000000e-07      3.89000000000000e-07      3.93000000000000e-07      4.00000000000000e-07      4.08000000000000e-07      4.16000000000000e-07      4.24000000000000e-07      4.33000000000000e-07      4.42000000000000e-07      4.51000000000000e-07      4.60000000000000e-07
     3.26000000000000e-07      3.32000000000000e-07      3.38000000000000e-07      3.45000000000000e-07      3.48000000000000e-07      3.51000000000000e-07      3.58000000000000e-07      3.65000000000000e-07      3.73000000000000e-07      3.80000000000000e-07      3.88000000000000e-07      3.96000000000000e-07      4.04000000000000e-07      4.12000000000000e-07
     2.94000000000000e-07      3.00000000000000e-07      3.05000000000000e-07      3.11000000000000e-07      3.14000000000000e-07      3.17000000000000e-07      3.24000000000000e-07      3.30000000000000e-07      3.37000000000000e-07      3.44000000000000e-07      3.51000000000000e-07      3.58000000000000e-07      3.65000000000000e-07      3.73000000000000e-07
     2.68000000000000e-07      2.73000000000000e-07      2.78000000000000e-07      2.83000000000000e-07      2.86000000000000e-07      2.89000000000000e-07      2.95000000000000e-07      3.01000000000000e-07      3.07000000000000e-07      3.13000000000000e-07      3.20000000000000e-07      3.26000000000000e-07      3.33000000000000e-07      3.40000000000000e-07
     2.46000000000000e-07      2.51000000000000e-07      2.55000000000000e-07      2.60000000000000e-07      2.63000000000000e-07      2.65000000000000e-07      2.71000000000000e-07      2.76000000000000e-07      2.82000000000000e-07      2.87000000000000e-07      2.93000000000000e-07      3.00000000000000e-07      3.06000000000000e-07      3.12000000000000e-07
