# Table format: 3D
21
15
1
-120 -110 -100 -90 -80 -70 -60 -50 -40 -30 -20 -10 0 10 20 30 40 50 60 70 80 
-70 -60 -50 -40 -30 -20 -10 0.001 10 20 30 40 50 60 70 
0
-2.46345 -2.46345 -2.46345 -2.46345 -2.46345 -2.46345 -2.46345 -2.46345 -2.46345 -2.46345 -2.46345 -2.46345 -2.46345 -2.46345 -2.46345 -2.46345 -2.46345 -2.46345 -2.46345 -2.46345 -2.46345 
-2.08637 -2.08637 -2.08637 -2.08637 -2.08637 -2.08637 -2.08637 -2.08637 -2.08637 -2.08637 -2.08637 -2.08637 -2.08637 -2.08637 -2.08637 -2.08637 -2.08637 -2.08637 -2.08637 -2.08637 -2.08637 
-1.71731 -1.71731 -1.71731 -1.71731 -1.71731 -1.71731 -1.71731 -1.71731 -1.71731 -1.71731 -1.71731 -1.71731 -1.71731 -1.71731 -1.71731 -1.71731 -1.71731 -1.71731 -1.71731 -1.71731 -1.71731 
-1.35672 -1.35672 -1.35672 -1.35672 -1.35672 -1.35672 -1.35672 -1.35672 -1.35672 -1.35672 -1.35672 -1.35672 -1.35672 -1.35672 -1.35672 -1.35672 -1.35672 -1.35672 -1.35672 -1.35672 -1.35672 
-1.00479 -1.00479 -1.00479 -1.00479 -1.00479 -1.00479 -1.00479 -1.00479 -1.00479 -1.00479 -1.00479 -1.00479 -1.00479 -1.00479 -1.00479 -1.00479 -1.00479 -1.00479 -1.00479 -1.00479 -1.00479 
-0.66154 -0.66154 -0.66154 -0.66154 -0.66154 -0.66154 -0.66154 -0.66154 -0.66154 -0.66154 -0.66154 -0.66154 -0.66154 -0.66154 -0.66154 -0.66154 -0.66154 -0.66154 -0.66154 -0.66154 -0.66154 
-0.326731 -0.326731 -0.326731 -0.326731 -0.326731 -0.326731 -0.326731 -0.326731 -0.326731 -0.326731 -0.326731 -0.326731 -0.326731 -0.326731 -0.326731 -0.326731 -0.326731 -0.326731 -0.326731 -0.326731 -0.326731 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0.31921 0.31921 0.31921 0.31921 0.31921 0.31921 0.31921 0.31921 0.31921 0.31921 0.31921 0.31921 0.31921 0.31921 0.31921 0.31921 0.31921 0.31921 0.31921 0.31921 0.31921 
0.631616 0.631616 0.631616 0.631616 0.631616 0.631616 0.631616 0.631616 0.631616 0.631616 0.631616 0.631616 0.631616 0.631616 0.631616 0.631616 0.631616 0.631616 0.631616 0.631616 0.631616 
0.937994 0.937994 0.937994 0.937994 0.937994 0.937994 0.937994 0.937994 0.937994 0.937994 0.937994 0.937994 0.937994 0.937994 0.937994 0.937994 0.937994 0.937994 0.937994 0.937994 0.937994 
1.23922 1.23922 1.23922 1.23922 1.23922 1.23922 1.23922 1.23922 1.23922 1.23922 1.23922 1.23922 1.23922 1.23922 1.23922 1.23922 1.23922 1.23922 1.23922 1.23922 1.23922 
1.53622 1.53622 1.53622 1.53622 1.53622 1.53622 1.53622 1.53622 1.53622 1.53622 1.53622 1.53622 1.53622 1.53622 1.53622 1.53622 1.53622 1.53622 1.53622 1.53622 1.53622 
1.83001 1.83001 1.83001 1.83001 1.83001 1.83001 1.83001 1.83001 1.83001 1.83001 1.83001 1.83001 1.83001 1.83001 1.83001 1.83001 1.83001 1.83001 1.83001 1.83001 1.83001 
2.12243 2.12243 2.12243 2.12243 2.12243 2.12243 2.12243 2.12243 2.12243 2.12243 2.12243 2.12243 2.12243 2.12243 2.12243 2.12243 2.12243 2.12243 2.12243 2.12243 2.12243 
