# Table format: 2D
7
15
    0.00000000000000e+000     5.00000000000000e+002     1.00000000000000e+003     1.50000000000000e+003     2.00000000000000e+003     2.50000000000000e+003     3.00000000000000e+003 
    0.00000000000000e+000     2.00000000000000e+001     5.00000000000000e+001     8.00000000000000e+001     1.00000000000000e+002     2.00000000000000e+002     4.00000000000000e+002     6.00000000000000e+002     8.00000000000000e+002     1.00000000000000e+003     1.20000000000000e+003     1.40000000000000e+003     1.60000000000000e+003     1.80000000000000e+003     2.00000000000000e+003 
    6.00000000000000e-001     6.00000000000000e-001     6.00000000000000e-001     6.00000000000000e-001     6.00000000000000e-001     6.00000000000000e-001     6.00000000000000e-001 
    6.00000000000000e-001     8.00000000000000e-001     8.00000000000000e-001     8.00000000000000e-001     8.00000000000000e-001     8.00000000000000e-001     8.00000000000000e-001 
    9.60000000000000e-001     9.60000000000000e-001     9.40000000000000e-001     9.20000000000000e-001     9.00000000000000e-001     8.80000000000000e-001     8.60000000000000e-001 
    9.67500000000000e-001     9.67500000000000e-001     9.55000000000000e-001     9.42500000000000e-001     9.30000000000000e-001     9.17500000000000e-001     9.05000000000000e-001 
    9.70000000000000e-001     9.70000000000000e-001     9.60000000000000e-001     9.50000000000000e-001     9.40000000000000e-001     9.30000000000000e-001     9.20000000000000e-001 
    9.80000000000000e-001     9.75000000000000e-001     9.70000000000000e-001     9.65000000000000e-001     9.60000000000000e-001     9.55000000000000e-001     9.50000000000000e-001 
    9.80000000000000e-001     9.77500000000000e-001     9.75000000000000e-001     9.72500000000000e-001     9.70000000000000e-001     9.67500000000000e-001     9.65000000000000e-001 
    9.80000000000000e-001     9.78333333000000e-001     9.76666667000000e-001     9.75000000000000e-001     9.73333333000000e-001     9.71666667000000e-001     9.70000000000000e-001 
    9.80000000000000e-001     9.78750000000000e-001     9.77500000000000e-001     9.76250000000000e-001     9.75000000000000e-001     9.73750000000000e-001     9.72500000000000e-001 
    9.80000000000000e-001     9.79000000000000e-001     9.78000000000000e-001     9.77000000000000e-001     9.76000000000000e-001     9.75000000000000e-001     9.74000000000000e-001 
    9.80000000000000e-001     9.79166667000000e-001     9.78333333000000e-001     9.77500000000000e-001     9.76666667000000e-001     9.75833333000000e-001     9.75000000000000e-001 
    9.80000000000000e-001     9.79285714000000e-001     9.78571429000000e-001     9.77857143000000e-001     9.77142857000000e-001     9.76428571000000e-001     9.75714286000000e-001 
    9.80000000000000e-001     9.79375000000000e-001     9.78750000000000e-001     9.78125000000000e-001     9.77500000000000e-001     9.76875000000000e-001     9.76250000000000e-001 
    9.80000000000000e-001     9.79444444000000e-001     9.78888889000000e-001     9.78333333000000e-001     9.77777778000000e-001     9.77222222000000e-001     9.76666667000000e-001 
    9.80000000000000e-001     9.79500000000000e-001     9.79000000000000e-001     9.78500000000000e-001     9.78000000000000e-001     9.77500000000000e-001     9.77000000000000e-001 
