# Table format: 2D
9
8
    1.30000000000000e-001     2.20000000000000e-001     3.30000000000000e-001     4.40000000000000e-001     5.60000000000000e-001     6.70000000000000e-001     7.80000000000000e-001     8.80000000000000e-001     1.00000000000000e+000 
    5.00000000000000e+002     1.00000000000000e+003     2.00000000000000e+003     3.00000000000000e+003     4.00000000000000e+003     5.00000000000000e+003     6.00000000000000e+003     7.00000000000000e+003 
    1.50000000000000e+001     4.60000000000000e+001     4.80000000000000e+001     5.10000000000000e+001     5.30000000000000e+001     5.60000000000000e+001     5.80000000000000e+001     6.10000000000000e+001     6.20000000000000e+001 
   -4.50000000000000e+000     7.75000000000000e+001     8.12000000000000e+001     8.60000000000000e+001     9.00000000000000e+001     9.45000000000000e+001     9.85000000000000e+001     1.03000000000000e+002     1.05000000000000e+002 
   -2.65000000000000e+001     4.75000000000000e+001     1.11500000000000e+002     1.32000000000000e+002     1.40500000000000e+002     1.43000000000000e+002     1.44500000000000e+002     1.46500000000000e+002     1.48000000000000e+002 
   -4.90000000000000e+001     2.40000000000000e+001     8.75000000000000e+001     1.29000000000000e+002     1.47000000000000e+002     1.52500000000000e+002     1.56000000000000e+002     1.58000000000000e+002     1.60000000000000e+002 
   -7.10000000000000e+001     1.50000000000000e+000     6.35000000000000e+001     1.13000000000000e+002     1.41500000000000e+002     1.55000000000000e+002     1.60500000000000e+002     1.64000000000000e+002     1.66000000000000e+002 
   -9.35000000000000e+001    -2.05000000000000e+001     3.95000000000000e+001     9.30000000000000e+001     1.29500000000000e+002     1.49500000000000e+002     1.62000000000000e+002     1.67000000000000e+002     1.70000000000000e+002 
   -1.15500000000000e+002    -4.30000000000000e+001     2.00000000000000e+001     7.15000000000000e+001     1.08000000000000e+002     1.29000000000000e+002     1.41500000000000e+002     1.44500000000000e+002     1.48000000000000e+002 
    0.00000000000000e+000     0.00000000000000e+000     0.00000000000000e+000     0.00000000000000e+000     0.00000000000000e+000     0.00000000000000e+000     0.00000000000000e+000     0.00000000000000e+000     0.00000000000000e+000 
