# Table format: 2D
# comment: efficiency as a function of pressure ratio and u/c0
# comment: axis1 - pressure ratio / axis2 - u/c0 
# table_unit = null 
# axis1_unit = null
# axis2_unit = null
4
15
    1.20000000000000e+000     1.40000000000000e+000     1.80000000000000e+000     2.10000000000000e+000 
    0.00000000000000e+000     5.00000000000000e-002     8.00000000000000e-002     1.25000000000000e-001     1.70000000000000e-001     2.10000000000000e-001     2.50000000000000e-001     2.90000000000000e-001     3.40000000000000e-001     3.90000000000000e-001     4.40000000000000e-001     4.80000000000000e-001     5.30000000000000e-001     5.80000000000000e-001     6.40000000000000e-001 
    1.00000000000000e-002     1.00000000000000e-002     1.00000000000000e-002     1.00000000000000e-002 
    1.90000000000000e-001     1.90000000000000e-001     1.90000000000000e-001     1.90000000000000e-001 
    2.80000000000000e-001     2.80000000000000e-001     2.80000000000000e-001     2.80000000000000e-001 
    4.00000000000000e-001     4.00000000000000e-001     4.00000000000000e-001     4.00000000000000e-001 
    4.70000000000000e-001     4.70000000000000e-001     4.70000000000000e-001     4.70000000000000e-001 
    5.40000000000000e-001     5.40000000000000e-001     5.40000000000000e-001     5.40000000000000e-001 
    6.00000000000000e-001     6.00000000000000e-001     6.00000000000000e-001     6.00000000000000e-001 
    6.40000000000000e-001     6.40000000000000e-001     6.40000000000000e-001     6.40000000000000e-001 
    6.80000000000000e-001     6.80000000000000e-001     6.80000000000000e-001     6.80000000000000e-001 
    7.00000000000000e-001     7.00000000000000e-001     7.00000000000000e-001     7.00000000000000e-001 
    7.20000000000000e-001     7.20000000000000e-001     7.20000000000000e-001     7.20000000000000e-001 
    7.40000000000000e-001     7.40000000000000e-001     7.40000000000000e-001     7.40000000000000e-001 
    7.40000000000000e-001     7.40000000000000e-001     7.40000000000000e-001     7.40000000000000e-001 
    7.30000000000000e-001     7.30000000000000e-001     7.30000000000000e-001     7.30000000000000e-001 
    7.20000000000000e-001     7.20000000000000e-001     7.20000000000000e-001     7.20000000000000e-001 
