# Table format: T1D
# table_unit = null
# axis1_unit = null
# axis2_unit = degree
# axis1_token = Pr
# axis2_token = theta
# axis3_token = Cd
0	10
	1.0027792263202808 0.9885900018962738
	1.1803721072707516 0.9884794801292384
	1.3579586065304754 0.9886018171408567
	1.5750126722144833 0.9886090375681017
	1.7205375571617156 0.9886138785363683
	1.8734652033753674 0.9885025362662369
	2.115181312950821 0.9886270065859049
	2.7219492783219437 0.9885307615727403
	3.4989009816863708 0.9886730368095922
	3.9946753907418078 0.9885730995324955
5	9
	1.0052744674023237 0.9875422194426413
	1.392518652770383 0.987555101341249
	1.5923102449839912 0.987445318027
	1.742787321950828 0.9867517467599244
	1.9401283449176217 0.9860597344487313
	2.1744544566081494 0.9858346704494898
	2.4975786041965997 0.9854961308720671
	2.633237395249105 0.9855006436390953
	3.9972248761951996 0.9855460174603059
10	10
	1.0028845242176048 0.9847478320484863
	1.1878769755891212 0.9846375564323796
	1.4320596086382564 0.9847621088023572
	1.6762550050688856 0.9844209436150272
	1.7971529454237807 0.983027811408275
	1.910667269584497 0.9810522861039596
	2.0512718709658597 0.9805912454142993
	2.342328022551072 0.9803680685721787
	2.6309176506626017 0.9801448096797485
	3.9949019407633233 0.980306612890286
15	10
	1.0005105352597532 0.9813712977076967
	1.3926845767298028 0.9815007730962505
	1.5678109342065918 0.9813901692789054
	1.6221063590813283 0.9802276804924477
	1.703597359074035 0.9767375064728577
	1.8615505867508806 0.9732498760128655
	2.0737035139412594 0.9720926384462224
	2.5546851638453516 0.9717593500886144
	3.213250122163794 0.9716648281319514
	3.9926683490019035 0.9718071854191129
20	11
	1.0030759749400122 0.9777620686888725
	1.1806656650451095 0.977767976311164
	1.3927866837817535 0.9777750326377898
	1.4840512431533575 0.9776616391099182
	1.595188387510849 0.9724260088541401
	1.7778770485227295 0.9663777523320521
	2.0369354027029196 0.9637084916600418
	2.5006450066004917 0.9636074877289204
	2.6338436558700615 0.9633790596669851
	2.996422606501302 0.9633911210624968
	3.9953646133424745 0.9634243514378861
25	11
	0.9982641801168397 0.9733375877938313
	1.2794478561165772 0.973346941529126
	1.3929079359059449 0.9733507158433677
	1.4768526959908397 0.970326341431395
	1.560864463828577 0.9648569498435574
	1.7386519863468286 0.9576442353275813
	1.9459197292704453 0.9547403928204156
	2.207390362552968 0.9540505138172721
	2.634098923499938 0.9540647085208335
	3.233467318450015 0.9539682173567402
	3.993159739189416 0.953877059462771
30	11
	0.9984077681586453 0.9680982652741209
	1.2179251664709616 0.9682219971410025
	1.353580766678093 0.9683429392973576
	1.4053905230069068 0.9678789447965517
	1.4869995842784314 0.9600808833718666
	1.6475884502337523 0.9504225773278584
	1.8697223417523028 0.9450742099466856
	2.0498040820940697 0.9441487645046714
	2.552984443261299 0.9438162145998498
	3.4976661245268432 0.9437312104791009
	3.998364007993523 0.9439807254706041
35	10
	1.003529074983043 0.9612290954044533
	1.2797765131900432 0.9613547144284558
	1.3759709286636375 0.9613579143905303
	1.4576374251518842 0.9514641239579611
	1.5911232505050652 0.9407570508566052
	1.946532371582149 0.9323859500696516
	2.309127276440256 0.9318158645185288
	2.7777763089759393 0.9314821659093727
	3.500461305073991 0.9317390654287402
	3.996235714129428 0.9316391281516435
40	12
	0.9988449139748088 0.9521474389363362
	1.201099838816725 0.9521541670617237
	1.3441582002902757 0.9521589259796807
	1.3934918606092874 0.9520441375965458
	1.4331540686013522 0.9448268282632319
	1.4950915681455172 0.934815952038859
	1.6482361918445638 0.9267874112944986
	1.8358259913500738 0.9219036127662988
	2.134320003500813 0.9202835294031843
	2.580763943082612 0.9201819511198955
	3.2121971431905534 0.920086526609827
	3.996548416976027 0.9202290479976077
