# Table format: 2D
6
8
    0.00000000000000e+000     2.00000000000000e+002     5.00000000000000e+002     8.00000000000000e+002     1.20000000000000e+003     1.60000000000000e+003 
    0.00000000000000e+000     1.50000000000000e+002     2.00000000000000e+002     2.50000000000000e+002     3.00000000000000e+002     4.00000000000000e+002     5.00000000000000e+002     6.00000000000000e+002 
    0.00000000000000e+000     0.00000000000000e+000     0.00000000000000e+000     0.00000000000000e+000     0.00000000000000e+000     0.00000000000000e+000 
    2.00000000000000e+000     3.92000000000000e+000     4.02000000000000e+000     4.05000000000000e+000     4.10000000000000e+000     4.16000000000000e+000 
    3.00000000000000e+000     4.86000000000000e+000     5.08000000000000e+000     5.16000000000000e+000     5.28000000000000e+000     5.31000000000000e+000 
    4.00000000000000e+000     5.43000000000000e+000     5.93000000000000e+000     6.16000000000000e+000     6.23000000000000e+000     6.32000000000000e+000 
    4.00000000000000e+000     5.88000000000000e+000     6.70000000000000e+000     6.99000000000000e+000     7.18000000000000e+000     7.24000000000000e+000 
    4.00000000000000e+000     6.61000000000000e+000     8.02000000000000e+000     8.43000000000000e+000     8.67000000000000e+000     8.84000000000000e+000 
    5.00000000000000e+000     7.15000000000000e+000     9.13000000000000e+000     9.67000000000000e+000     9.98000000000000e+000     1.02600000000000e+001 
    5.00000000000000e+000     7.63000000000000e+000     9.98000000000000e+000     1.07200000000000e+001     1.11300000000000e+001     1.13700000000000e+001 
