# Table format: nT1D v1.0
# time dependant data for stop and start, 7.6s

id activeLongitudinalDriver longiDriverId
    0.   fixedBrakePedalPosition
   11.   fixedAcceleration
   15.   fixedSpeed
   23.   fixedAcceleration
   28.   fixedBrakePedalPosition
   49.   fixedAcceleration
   54.   fixedSpeed
   56.   fixedAcceleration
   61.   fixedSpeed
   85.   fixedAcceleration
   96.   fixedBrakePedalPosition
  117.   fixedAcceleration
  122.   fixedSpeed
  124.   fixedAcceleration
  133.   fixedSpeed
  135.   fixedAcceleration
  143.   fixedSpeed
  155.   fixedAcceleration
  163.   fixedSpeed
  176.   fixedAcceleration
  188.   fixedBrakePedalPosition
  206.   fixedAcceleration
  210.   fixedSpeed
  218.   fixedAcceleration
  223.   fixedBrakePedalPosition
  244.   fixedAcceleration
  249.   fixedSpeed
  251.   fixedAcceleration
  256.   fixedSpeed
  280.   fixedAcceleration
  291.   fixedBrakePedalPosition
  312.   fixedAcceleration
  317.   fixedSpeed
  319.   fixedAcceleration
  328.   fixedSpeed
  330.   fixedAcceleration
  338.   fixedSpeed
  350.   fixedAcceleration
  358.   fixedSpeed
  371.   fixedAcceleration
  383.   fixedBrakePedalPosition
  401.   fixedAcceleration
  405.   fixedSpeed
  413.   fixedAcceleration
  418.   fixedBrakePedalPosition
  439.   fixedAcceleration
  444.   fixedSpeed
  446.   fixedAcceleration
  451.   fixedSpeed
  475.   fixedAcceleration
  486.   fixedBrakePedalPosition
  507.   fixedAcceleration
  512.   fixedSpeed
  514.   fixedAcceleration
  523.   fixedSpeed
  525.   fixedAcceleration
  533.   fixedSpeed
  545.   fixedAcceleration
  553.   fixedSpeed
  566.   fixedAcceleration
  578.   fixedBrakePedalPosition
  596.   fixedAcceleration
  600.   fixedSpeed
  608.   fixedAcceleration
  613.   fixedBrakePedalPosition
  634.   fixedAcceleration
  639.   fixedSpeed
  641.   fixedAcceleration
  646.   fixedSpeed
  670.   fixedAcceleration
  681.   fixedBrakePedalPosition
  702.   fixedAcceleration
  707.   fixedSpeed
  709.   fixedAcceleration
  718.   fixedSpeed
  720.   fixedAcceleration
  728.   fixedSpeed
  740.   fixedAcceleration
  748.   fixedSpeed
  761.   fixedAcceleration
  773.   fixedBrakePedalPosition
  800.   fixedAcceleration
  805.   fixedSpeed
  807.   fixedAcceleration
  816.   fixedSpeed
  818.   fixedAcceleration
  826.   fixedSpeed
  828.   fixedAcceleration
  841.   fixedSpeed
  891.   fixedAcceleration
  899.   fixedSpeed
  968.   fixedAcceleration
  981.   fixedSpeed
 1031.   fixedAcceleration
 1066.   fixedSpeed
 1096.   fixedAcceleration
 1116.   fixedSpeed
 1126.   fixedAcceleration
 1160.   fixedBrakePedalPosition
 1180.   fixedAcceleration
 1184.   fixedSpeed
 1192.   fixedAcceleration
 1197.   fixedBrakePedalPosition

float longitudinalAccelerationTarget
   10.   1.04
   22.   -0.70
   25.   -0.92
   48.   0.832
   55.   0.94
   84.   -0.76
   93.   -0.92
  116.   0.83
  123.   0.62
  134.   0.52
  154.   -0.52
  175.   -0.42
  178.   -0.87
  185.   -0.92
  205.   1.04
  217.   -0.70
  220.   -0.92
  243.   0.832
  250.   0.94
  279.   -0.76
  287.   -0.92
  311.   0.83
  318.   0.62
  329.   0.52
  349.   -0.52
  370.   -0.42
  373.   -0.87
  380.   -0.92
  400.   1.04
  412.   -0.70
  415.   -0.92
  438.   0.832
  445.   0.94
  474.   -0.76
  483.   -0.92
  506.   0.83
  513.   0.62
  524.   0.52
  544.   -0.52
  565.   -0.42
  568.   -0.87
  575.   -0.92
  595.   1.04
  607.   -0.70
  610.   -0.92
  633.   0.832
  640.   0.94
  669.   -0.76
  677.   -0.92
  701.   0.83
  708.   0.62
  719.   0.52
  739.   -0.52
  760.   -0.42
  763.   -0.87
  770.   -0.92
  799.   0.83
  806.   0.62
  817.   0.52
  827.   0.43
  890.   -0.70
  967.   0.43
 1030.   0.24
 1095.   0.28
 1125.   -0.69
 1142.   -1.04
 1150.   -1.39
 1179.   1.04
 1191.   -0.70

float cruiseControlTargetSpeed
    0.   0
   14.   4.16
   27.   0
   53.   4.16
   60.   8.88
   95.   0
  121.   4.16
  132.   9.72
  142.   13.88
  162.   9.72
  187.   0
  209.   4.16
  222.   0
  248.   4.16
  255.   8.88
  290.   0
  316.   4.16
  327.   9.72
  337.   13.88
  357.   9.72
  382.   0
  404.   4.16
  417.   0
  443.   4.16
  450.   8.88
  485.   0
  511.   4.16
  522.   9.72
  532.   13.88
  552.   9.72
  577.   0
  599.   4.16
  612.   0
  638.   4.16
  645.   8.88
  680.   0
  706.   4.16
  717.   9.72
  727.   13.88
