# Table format: T1D
# table_unit = null
# axis1_unit = bar
# axis2_unit = rev/min
    1.00000000000000e+003     7
    1.00000000000000e-001     3.00000000000000e-001
    1.00000000000000e+000     3.00000000000000e-001
    2.00000000000000e+000     3.50000000000000e-001
    3.00000000000000e+000     4.00000000000000e-001
    4.00000000000000e+000     5.00000000000000e-001
    5.10000000000000e+000     6.00000000000000e-001
    8.10000000000000e+000     7.50000000000000e-001
    1.50000000000000e+003     8
    1.00000000000000e-001     3.00000000000000e-001
    1.00000000000000e+000     3.00000000000000e-001
    2.00000000000000e+000     3.00000000000000e-001
    3.00000000000000e+000     3.50000000000000e-001
    4.00000000000000e+000     4.00000000000000e-001
    5.10000000000000e+000     5.00000000000000e-001
    7.10000000000000e+000     6.50000000000000e-001
    1.01000000000000e+001     7.50000000000000e-001
    2.00000000000000e+003     9
    1.00000000000000e-001     3.00000000000000e-001
    1.00000000000000e+000     3.00000000000000e-001
    2.10000000000000e+000     3.50000000000000e-001
    3.00000000000000e+000     4.00000000000000e-001
    4.10000000000000e+000     4.50000000000000e-001
    5.10000000000000e+000     5.00000000000000e-001
    7.10000000000000e+000     6.00000000000000e-001
    1.01000000000000e+001     6.50000000000000e-001
    1.17000000000000e+001     7.50000000000000e-001
    2.50000000000000e+003     6
    3.10000000000000e+000     3.00000000000000e-001
    4.00000000000000e+000     4.00000000000000e-001
    5.00000000000000e+000     4.50000000000000e-001
    7.10000000000000e+000     5.00000000000000e-001
    1.01000000000000e+001     6.00000000000000e-001
    1.17000000000000e+001     6.00000000000000e-001
    3.00000000000000e+003     4
    3.00000000000000e+000     3.00000000000000e-001
    5.00000000000000e+000     4.00000000000000e-001
    7.00000000000000e+000     5.00000000000000e-001
    1.08000000000000e+001     5.50000000000000e-001
