# Table format: 1D 
# AnglePCyl 	PCylMoy_Brute 
0.000000 	0.743500 
1.000000 	0.739000 
2.000000 	0.731500 
3.000000 	0.722000 
4.000000 	0.707750 
5.000000 	0.693000 
6.000000 	0.675750 
7.000000 	0.660500 
8.000000 	0.645250 
9.000000 	0.629250 
10.000000 	0.618000 
11.000000 	0.605250 
12.000000 	0.594500 
13.000000 	0.583500 
14.000000 	0.574750 
15.000000 	0.567500 
16.000000 	0.560000 
17.000000 	0.553250 
18.000000 	0.543250 
19.000000 	0.534750 
20.000000 	0.525750 
21.000000 	0.517000 
22.000000 	0.508250 
23.000000 	0.496750 
24.000000 	0.489250 
25.000000 	0.479250 
26.000000 	0.470000 
27.000000 	0.461750 
28.000000 	0.452000 
29.000000 	0.443500 
30.000000 	0.434500 
31.000000 	0.426500 
32.000000 	0.419000 
33.000000 	0.411500 
34.000000 	0.401500 
35.000000 	0.395500 
36.000000 	0.390250 
37.000000 	0.382500 
38.000000 	0.380250 
39.000000 	0.373500 
40.000000 	0.368000 
41.000000 	0.366500 
42.000000 	0.360000 
43.000000 	0.358250 
44.000000 	0.355000 
45.000000 	0.354250 
46.000000 	0.355000 
47.000000 	0.355000 
48.000000 	0.356000 
49.000000 	0.353500 
50.000000 	0.355250 
51.000000 	0.361500 
52.000000 	0.361000 
53.000000 	0.361750 
54.000000 	0.362500 
55.000000 	0.368000 
56.000000 	0.368750 
57.000000 	0.371750 
58.000000 	0.372000 
59.000000 	0.379250 
60.000000 	0.378500 
61.000000 	0.383250 
62.000000 	0.387250 
63.000000 	0.391500 
64.000000 	0.393750 
65.000000 	0.403250 
66.000000 	0.404000 
67.000000 	0.405750 
68.000000 	0.407750 
69.000000 	0.414750 
70.000000 	0.420000 
71.000000 	0.423000 
72.000000 	0.431500 
73.000000 	0.437500 
74.000000 	0.442500 
75.000000 	0.449750 
76.000000 	0.454500 
77.000000 	0.460250 
78.000000 	0.465500 
79.000000 	0.470500 
80.000000 	0.474500 
81.000000 	0.479250 
82.000000 	0.484250 
83.000000 	0.488250 
84.000000 	0.492000 
85.000000 	0.495250 
86.000000 	0.498750 
87.000000 	0.504250 
88.000000 	0.508000 
89.000000 	0.512500 
90.000000 	0.517000 
91.000000 	0.522500 
92.000000 	0.524000 
93.000000 	0.529000 
94.000000 	0.533250 
95.000000 	0.536000 
96.000000 	0.538500 
97.000000 	0.543500 
98.000000 	0.543500 
99.000000 	0.548250 
100.000000 	0.549750 
101.000000 	0.552250 
102.000000 	0.556250 
103.000000 	0.559750 
104.000000 	0.566500 
105.000000 	0.569000 
106.000000 	0.574000 
107.000000 	0.579500 
108.000000 	0.581750 
109.000000 	0.585750 
110.000000 	0.590250 
111.000000 	0.591750 
112.000000 	0.596000 
