# Table format: 1D 
# AnglePCyl 	PCylMoy_Brute 
0.000000 	0.995250 
1.000000 	0.993500 
2.000000 	0.990250 
3.000000 	0.989000 
4.000000 	0.983500 
5.000000 	0.982000 
6.000000 	0.977500 
7.000000 	0.971750 
8.000000 	0.965500 
9.000000 	0.959250 
10.000000 	0.954250 
11.000000 	0.947000 
12.000000 	0.940500 
13.000000 	0.933750 
14.000000 	0.928500 
15.000000 	0.922250 
16.000000 	0.918250 
17.000000 	0.912500 
18.000000 	0.909500 
19.000000 	0.904500 
20.000000 	0.899750 
21.000000 	0.895000 
22.000000 	0.892500 
23.000000 	0.889500 
24.000000 	0.886000 
25.000000 	0.881250 
26.000000 	0.879750 
27.000000 	0.876500 
28.000000 	0.873000 
29.000000 	0.870750 
30.000000 	0.865250 
31.000000 	0.863000 
32.000000 	0.862250 
33.000000 	0.859500 
34.000000 	0.858500 
35.000000 	0.857000 
36.000000 	0.856250 
37.000000 	0.855500 
38.000000 	0.853250 
39.000000 	0.854000 
40.000000 	0.853250 
41.000000 	0.853500 
42.000000 	0.853250 
43.000000 	0.850000 
44.000000 	0.844500 
45.000000 	0.841000 
46.000000 	0.838000 
47.000000 	0.834250 
48.000000 	0.833250 
49.000000 	0.832250 
50.000000 	0.830750 
51.000000 	0.830000 
52.000000 	0.829250 
53.000000 	0.828250 
54.000000 	0.827500 
55.000000 	0.827500 
56.000000 	0.829250 
57.000000 	0.829250 
58.000000 	0.830750 
59.000000 	0.834000 
60.000000 	0.835750 
61.000000 	0.838000 
62.000000 	0.839750 
63.000000 	0.844250 
64.000000 	0.847000 
65.000000 	0.850750 
66.000000 	0.853000 
67.000000 	0.857250 
68.000000 	0.861250 
69.000000 	0.864500 
70.000000 	0.870250 
71.000000 	0.871750 
72.000000 	0.875750 
73.000000 	0.879500 
74.000000 	0.883000 
75.000000 	0.886250 
76.000000 	0.888500 
77.000000 	0.892500 
78.000000 	0.897250 
79.000000 	0.900000 
80.000000 	0.904750 
81.000000 	0.907750 
82.000000 	0.910250 
83.000000 	0.914000 
84.000000 	0.917500 
85.000000 	0.920500 
86.000000 	0.922250 
87.000000 	0.926000 
88.000000 	0.929500 
89.000000 	0.932750 
90.000000 	0.935000 
91.000000 	0.939000 
92.000000 	0.941500 
93.000000 	0.944750 
94.000000 	0.948500 
