# Table format: 1D 
# AnglePCyl 	PCylMoy_Brute 
263.000000 	1.984000 
264.000000 	2.015250 
265.000000 	2.042250 
266.000000 	2.072000 
267.000000 	2.107250 
268.000000 	2.139250 
269.000000 	2.173750 
270.000000 	2.218750 
271.000000 	2.257750 
272.000000 	2.298750 
273.000000 	2.340250 
274.000000 	2.374750 
275.000000 	2.412250 
276.000000 	2.450250 
277.000000 	2.493250 
278.000000 	2.542250 
279.000000 	2.596500 
280.000000 	2.651000 
281.000000 	2.707250 
282.000000 	2.765750 
283.000000 	2.823750 
284.000000 	2.885000 
285.000000 	2.945250 
286.000000 	3.005250 
287.000000 	3.068500 
288.000000 	3.146250 
289.000000 	3.227250 
290.000000 	3.307250 
291.000000 	3.391500 
292.000000 	3.471750 
293.000000 	3.546750 
294.000000 	3.623750 
295.000000 	3.716750 
296.000000 	3.812750 
297.000000 	3.919500 
298.000000 	4.036250 
299.000000 	4.159750 
300.000000 	4.274250 
300.200000 	4.298500 
300.400000 	4.320750 
300.600000 	4.345000 
300.800000 	4.364000 
301.000000 	4.386250 
301.200000 	4.407250 
301.400000 	4.432000 
301.600000 	4.455500 
301.800000 	4.480250 
302.000000 	4.506750 
302.200000 	4.530000 
302.400000 	4.557000 
302.600000 	4.581750 
302.800000 	4.614750 
303.000000 	4.641250 
303.200000 	4.673250 
303.400000 	4.699750 
303.600000 	4.729250 
303.800000 	4.758250 
304.000000 	4.792000 
304.200000 	4.820000 
304.400000 	4.854250 
304.600000 	4.883750 
304.800000 	4.915000 
305.000000 	4.946500 
305.200000 	4.977750 
305.400000 	5.009750 
305.600000 	5.039250 
305.800000 	5.070750 
306.000000 	5.099500 
306.200000 	5.130500 
306.400000 	5.158750 
306.600000 	5.188500 
306.800000 	5.216500 
307.000000 	5.248750 
307.200000 	5.280750 
307.400000 	5.313500 
307.600000 	5.343250 
307.800000 	5.374250 
308.000000 	5.408000 
308.200000 	5.442500 
308.400000 	5.479000 
308.600000 	5.514500 
308.800000 	5.552750 
309.000000 	5.590250 
309.200000 	5.627750 
309.400000 	5.664500 
309.600000 	5.701750 
309.800000 	5.738750 
310.000000 	5.780500 
310.200000 	5.818000 
310.400000 	5.854500 
310.600000 	5.889500 
310.800000 	5.929250 
311.000000 	5.967250 
311.200000 	6.009500 
311.400000 	6.049500 
311.600000 	6.090500 
311.800000 	6.132000 
312.000000 	6.171250 
312.200000 	6.212250 
312.400000 	6.254500 
312.600000 	6.297250 
312.800000 	6.341250 
313.000000 	6.384500 
313.200000 	6.429250 
313.400000 	6.470750 
313.600000 	6.517500 
313.800000 	6.561500 
314.000000 	6.606250 
314.200000 	6.649250 
314.400000 	6.693500 
314.600000 	6.737750 
314.800000 	6.784250 
315.000000 	6.829250 
315.200000 	6.875500 
315.400000 	6.918500 
315.600000 	6.961750 
315.800000 	7.007500 
316.000000 	7.051000 
316.200000 	7.095750 
316.400000 	7.143000 
316.600000 	7.191250 
316.800000 	7.239250 
317.000000 	7.289750 
317.200000 	7.340000 
317.400000 	7.392750 
317.600000 	7.446500 
317.800000 	7.501250 
318.000000 	7.554000 
318.200000 	7.611000 
318.400000 	7.669500 
318.600000 	7.728000 
318.800000 	7.787000 
319.000000 	7.842500 
319.200000 	7.899750 
319.400000 	7.954750 
319.600000 	8.006750 
319.800000 	8.061750 
320.000000 	8.115750 
320.200000 	8.172250 
320.400000 	8.227000 
320.600000 	8.283000 
320.800000 	8.340000 
321.000000 	8.396500 
321.200000 	8.454500 
321.400000 	8.514750 
321.600000 	8.572250 
321.800000 	8.635500 
322.000000 	8.698250 
322.200000 	8.759750 
322.400000 	8.824750 
322.600000 	8.888750 
322.800000 	8.954500 
323.000000 	9.019500 
323.200000 	9.085000 
323.400000 	9.149000 
323.600000 	9.211500 
323.800000 	9.279250 
324.000000 	9.343250 
324.200000 	9.415500 
324.400000 	9.485500 
324.600000 	9.556250 
324.800000 	9.633750 
325.000000 	9.706750 
325.200000 	9.779250 
325.400000 	9.859000 
325.600000 	9.932250 
325.800000 	10.009500 
326.000000 	10.087000 
326.200000 	10.163250 
326.400000 	10.241500 
326.600000 	10.317250 
326.800000 	10.393000 
327.000000 	10.464500 
327.200000 	10.539750 
327.400000 	10.610250 
