# Table format: 1D 	
# AnglePCyl 	PCylMoy_Brute 
0	0.895
1	0.89825
2	0.9
3	0.90225
4	0.90375
5	0.907
6	0.9095
7	0.9125
8	0.91575
9	0.91575
10	0.91675
11	0.9135
12	0.90925
13	0.903
14	0.8925
15	0.88125
16	0.867
17	0.8505
18	0.83075
19	0.80775
20	0.782
21	0.75325
22	0.72425
23	0.69375
24	0.66275
25	0.63075
26	0.5985
27	0.57375
28	0.5465
29	0.52475
30	0.50075
31	0.4785
32	0.461
33	0.4465
34	0.43525
35	0.42575
36	0.41675
37	0.409
38	0.39975
39	0.393
40	0.3845
41	0.3785
42	0.371
43	0.367
44	0.36075
45	0.3565
46	0.35425
47	0.35025
48	0.34875
49	0.34625
50	0.34775
51	0.34475
52	0.34475
53	0.3455
54	0.34875
55	0.35025
56	0.3535
57	0.3565
58	0.3595
59	0.3665
60	0.3745
61	0.38125
62	0.3855
63	0.38875
64	0.395
65	0.3985
66	0.40325
67	0.40975
68	0.41675
69	0.4225
70	0.427
71	0.43375
72	0.4345
73	0.44075
74	0.44425
75	0.448
76	0.4525
77	0.45425
78	0.4595
79	0.464
80	0.47125
81	0.475
82	0.47925
83	0.48425
84	0.4895
85	0.49525
86	0.49775
87	0.5025
88	0.504
89	0.50725
90	0.50875
91	0.51125
92	0.51225
93	0.513
94	0.51375
95	0.51375
96	0.51375
97	0.5155
98	0.5145
99	0.51375
100	0.5135
101	0.51125
102	0.513
103	0.5105
104	0.509
105	0.50825
106	0.5065
107	0.50575
108	0.504
109	0.50225
110	0.5
111	0.49925
112	0.497
113	0.4955
114	0.493
115	0.49025
116	0.48875
117	0.48625
118	0.4855
119	0.4825
120	0.4825
121	0.4795
122	0.477
123	0.47625
124	0.47375
125	0.472
126	0.472
127	0.4705
128	0.46875
129	0.468
130	0.4665
131	0.46575
132	0.46725
133	0.46725
134	0.4665
135	0.46725
136	0.46725
137	0.469
138	0.46725
139	0.46825
140	0.469
141	0.4705
142	0.473
143	0.47375
144	0.476
145	0.4775
146	0.479
147	0.48075
148	0.4835
149	0.48575
150	0.48825
151	0.489
152	0.49275
153	0.49525
154	0.49675
155	0.50025
156	0.5025
157	0.505
158	0.50575
159	0.5105
160	0.5105
161	0.512
162	0.5145
163	0.51625
164	0.51775
165	0.521
166	0.5235
167	0.52275
168	0.52575
169	0.5265
170	0.528
171	0.52875
172	0.5305
173	0.53125
174	0.533
175	0.53375
176	0.53375
177	0.53525
178	0.53475
179	0.537
180	0.53775
181	0.5385
182	0.5385
183	0.54
184	0.53925
185	0.54075
186	0.5415
187	0.5415
188	0.54225
189	0.54075
190	0.54075
191	0.5415
192	0.54
193	0.54075
194	0.54
195	0.53925
196	0.537
197	0.53625
198	0.5355
199	0.5355
200	0.53325
201	0.53225
202	0.5305
203	0.52875
204	0.527
205	0.52625
206	0.52325
207	0.524
208	0.52175
209	0.521
210	0.5195
211	0.51775
212	0.51775
213	0.517
214	0.51525
215	0.5145
216	0.51525
217	0.51525
218	0.5155
219	0.51625
220	0.51625
221	0.51775
222	0.5185
223	0.52075
224	0.52
225	0.5225
226	0.524
227	0.5255
228	0.529
229	0.5315
230	0.5345
231	0.537
232	0.54
233	0.544
234	0.54675
235	0.5515
236	0.556
237	0.561
238	0.56425
239	0.5705
240	0.57275
241	0.5795
242	0.58425
243	0.5895
244	0.59575
245	0.60175
246	0.6065
247	0.61175
248	0.6185
249	0.625
250	0.63225
251	0.63875
252	0.598233
253	0.65
254	0.65975
255	0.66775
256	0.6755
257	0.6835
258	0.694
259	0.702
260	0.71225
261	0.723
262	0.734
263	0.74425
264	0.75475
265	0.76675
266	0.778
267	0.78925
268	0.80225
269	0.816
270	0.8285
271	0.84225
272	0.8575
273	0.87325
274	0.88875
275	0.90475
276	0.9215
277	0.939
278	0.9575
279	0.976
280	0.99525
281	1.016
282	1.0375
283	1.05775
284	1.08225
285	1.106
286	1.1295
287	1.1555
288	1.18275
289	1.20875
290	1.23775
291	1.26825
292	1.29875
293	1.3315
294	1.3645
295	1.3975
296	1.434
297	1.4735
298	1.51175
299	1.55125
300	1.596
300.2	1.60325
300.4	1.61275
300.6	1.62
300.8	1.63025
301	1.63925
301.2	1.64825
301.4	1.6585
301.6	1.6665
301.8	1.676
302	1.6865
302.2	1.6945
302.4	1.705
302.6	1.71525
302.8	1.72425
303	1.7355
303.2	1.74425
303.4	1.75525
303.6	1.765
303.8	1.7755
304	1.786
304.2	1.798
304.4	1.80675
304.6	1.817
304.8	1.8275
305	1.83875
305.2	1.85
305.4	1.86125
305.6	1.87075
305.8	1.8835
306	1.89475
306.2	1.906
306.4	1.918
306.6	1.9285
306.8	1.9415
307	1.95225
307.2	1.96375
307.4	1.97675
307.6	1.9885
307.8	2.0005
308	2.01175
308.2	2.024
308.4	2.0385
308.6	2.05025
308.8	2.0635
309	2.075
309.2	2.08875
309.4	2.10175
309.6	2.1145
309.8	2.128
310	2.1415
310.2	2.15425
310.4	2.168
310.6	2.18175
310.8	2.197
311	2.2105
311.2	2.224
311.4	2.23775
311.6	2.25375
311.8	2.2675
312	2.282
312.2	2.29625
312.4	2.31225
312.6	2.326
312.8	2.34275
313	2.35725
313.2	2.37325
313.4	2.38925
313.6	2.40425
313.8	2.42025
314	2.4365
314.2	2.4525
314.4	2.46925
314.6	2.48625
314.8	2.50125
315	2.519
315.2	2.53575
315.4	2.55325
315.6	2.57
315.8	2.5875
316	2.6045
316.2	2.623
316.4	2.64075
316.6	2.65825
316.8	2.6765
317	2.696
317.2	2.71275
317.4	2.73375
317.6	2.7505
317.8	2.76975
318	2.7895
318.2	2.80975
318.4	2.829
318.6	2.849
318.8	2.8665
319	2.88825
