# Table format: 0D
20
    1.00000000000000e+005 p0             [PaA]
    1.00000000000000e+001 T0             [degC]
    7.52749049355671e+002 Rho0           [kg/m**3]
    6.09992599047577e-004 Mu0            [kg/m/s]
    2.23790629944776e+003 Cp0            [J/kg/K]
    1.35054897419666e-001 Lambda0        [W/m/K]
    0.00000000000000e+000 pmin             [PaA]
    4.00000000000000e+007 pmax             [PaA]
   -2.00000000000000e+001 Tmin             [degC]
    1.30000000000000e+002 Tmax             [degC]
    1.05592589597606e-003 T      for vs          
    1.29118146295995e-006 T2     for vs          
   -1.09650916938018e-009 p      for vs          
   -9.12589070138084e-012 pT     for vs          
    6.51521638313863e-018 p2     for vs          
   -1.08835976647051e-003 T      for mu          
    2.60646321194661e-006 T2     for mu          
    5.12954367560472e-009 p      for mu          
    1.15505630192899e-003 T      for cp          
   -2.40337090595473e-006 T2     for cp          
   -1.53294002430493e-012 pT     for cp          
   -4.34051967881942e-010 p      for cp          
   -1.87668952713558e-003 T      for lambda      
    2.63671416009765e-007 T2     for lambda      
    9.32497929994373e-020 p2T    for vs          
    1.17026779816714e-021 p2T2   for vs          
   -5.35248498156391e-014 pT2    for vs          
   -2.82664880951191e-026 p3     for vs          
   -5.15941939002503e-028 p3T    for vs          
   -9.61602666615600e-030 p3T2   for vs          
    7.13586309742060e-012 pT     for mu          
   -1.83634570067747e-017 p2     for mu          
   -5.91162626211810e-019 p2T    for mu          
   -7.48447196569656e-021 p2T2   for mu          
    1.97250373233475e-013 pT2    for mu          
    1.81685605437077e-024 p3     for mu          
    1.27534882767731e-026 p3T    for mu          
    1.42773823044774e-028 p3T2   for mu          
   -4.04179471664979e-009 T3     for mu          
   -6.22884316935403e-016 pT3    for mu          
    1.29918486162552e-023 p2T3   for mu          
   -1.69912529886190e-031 p3T3   for mu          
    2.74218606764365e-009 p      for lambda      
    1.45253797959532e-011 pT     for lambda      
   -9.87712910115652e-018 p2     for lambda      
   -1.07142427602552e-019 p2T    for lambda      
   -7.33823633854704e-022 p2T2   for lambda      
    3.19414895083382e-014 pT2    for lambda      
    3.06746601349540e-026 p3     for lambda      
    4.32787229688828e-028 p3T    for lambda      
    3.82347418381518e-030 p3T2   for lambda      
    8.99663101567629e-018 p2     for cp          
    3.17733745918287e-020 p2T    for cp          
   -1.31134947672616e-025 p3     for cp          
   -4.63128898720169e-028 p3T    for cp          
    8.08146534276048e-034 p4     for cp          
    2.85412867482270e-036 p4T    for cp          
