# Table format: XY
# axis1_unit = null
# axis2_unit = m
# axis3_unit = m
# axis4_unit = m
# axis5_unit = m
# axis6_unit = m
# axis7_unit = m**3
# axis8_unit = m**2
# axis9_unit = m**2
# axis10_unit = m**2
# axis11_unit = m**2
# axis12_unit = m**2
# axis13_unit = m**2
# axis14_unit = m**2
# S1 wet A : Area of FWD
# S2 wet A : Area of Left
# S3 wet A : Area of AFT
# S4 wet A : Area of Right
# S5 wet A : Area of Top
# S6 wet A : Area of Bottom
#C	COGx        	COGy        	COGz        	hfl/minPt   	hfl/refPt   	vol         	FS area     	S1 wet A    	S2 wet A    	S3 wet A    	S4 wet A    	S5 wet A    	S6 wet A    	zeros
"# Orientation 1 : pitch = -20.0 degree ;   roll = -20.0 degree"														
1	-4.712370E-09	1.587615E-09	1.637880E-08	9.442282E-01	4.721141E-01	2.500000E-01	0.000000E+00	2.500000E-01	5.000000E-01	2.500000E-01	5.000000E-01	5.000000E-01	5.000000E-01	0.000000E+00
2	-1.925701E-05	7.511773E-06	-2.510698E-05	9.242282E-01	4.521141E-01	2.499863E-01	2.060483E-03	2.500000E-01	4.993378E-01	2.492953E-01	5.000000E-01	4.981805E-01	5.000000E-01	0.000000E+00
3	-1.495528E-04	5.456964E-05	-1.944140E-04	9.042282E-01	4.321141E-01	2.498901E-01	8.241934E-03	2.500000E-01	4.973511E-01	2.471811E-01	5.000000E-01	4.927222E-01	5.000000E-01	0.000000E+00
4	-4.902529E-04	1.654641E-04	-6.345645E-04	8.842282E-01	4.121141E-01	2.496291E-01	1.854435E-02	2.500000E-01	4.940400E-01	2.436575E-01	5.000000E-01	4.836249E-01	5.000000E-01	0.000000E+00
5	-1.128797E-03	3.482715E-04	-1.454337E-03	8.642282E-01	3.921141E-01	2.491209E-01	3.296773E-02	2.500000E-01	4.894044E-01	2.387244E-01	5.000000E-01	4.708888E-01	5.000000E-01	0.000000E+00
6	-2.142285E-03	5.947963E-04	-2.746357E-03	8.442282E-01	3.721141E-01	2.482829E-01	5.151209E-02	2.500000E-01	4.834443E-01	2.323818E-01	5.000000E-01	4.545137E-01	5.000000E-01	0.000000E+00
7	-3.599291E-03	8.806900E-04	-4.589541E-03	8.242282E-01	3.521141E-01	2.470329E-01	7.417740E-02	2.500000E-01	4.761599E-01	2.246298E-01	5.000000E-01	4.344997E-01	5.000000E-01	0.000000E+00
8	-5.562221E-03	1.164825E-03	-7.051720E-03	8.042282E-01	3.321141E-01	2.452884E-01	1.009637E-01	2.500000E-01	4.675509E-01	2.154684E-01	5.000000E-01	4.108468E-01	5.000000E-01	0.000000E+00
9	-8.089815E-03	1.388253E-03	-1.019256E-02	7.842282E-01	3.121141E-01	2.429669E-01	1.318709E-01	2.500000E-01	4.576175E-01	2.048975E-01	5.000000E-01	3.835550E-01	5.000000E-01	0.000000E+00
10	-1.121861E-02	1.489045E-03	-1.405082E-02	7.642282E-01	2.921141E-01	2.399984E-01	1.649798E-01	2.500000E-01	4.463597E-01	1.935736E-01	4.993831E-01	3.543192E-01	5.000000E-01	0.000000E+00
