# Table format: XY
# axis1_unit = null
# axis2_unit = m
# axis3_unit = m
# axis4_unit = m
# axis5_unit = m
# axis6_unit = m
# axis7_unit = m**3
# axis8_unit = m**2
#C	COGx        	COGy        	COGz        	hfl/minPt   	hfl/refPt   	vol         	FS area     
# Orientation 1 : pitch = -20.0 degree ;   roll = -20.0 degree
1	-7.263139E-09	3.175230E-09	2.742077E-08	1.546436E+00	7.732182E-01	1.000000E+00	0.000000E+00
2	-3.315321E-06	3.937082E-06	-1.040339E-05	1.526436E+00	7.532182E-01	9.999863E-01	2.060483E-03
3	-2.533924E-05	3.004392E-05	-8.166074E-05	1.506436E+00	7.332182E-01	9.998901E-01	8.241934E-03
4	-8.175503E-05	9.674151E-05	-2.701604E-04	1.486436E+00	7.132182E-01	9.996291E-01	1.854435E-02
5	-1.850201E-04	2.183350E-04	-6.275499E-04	1.466436E+00	6.932182E-01	9.991209E-01	3.296773E-02
6	-3.443135E-04	4.049571E-04	-1.200947E-03	1.446436E+00	6.732182E-01	9.982830E-01	5.151209E-02
7	-5.656553E-04	6.628664E-04	-2.033206E-03	1.426436E+00	6.532182E-01	9.970329E-01	7.417740E-02
8	-8.519961E-04	9.943875E-04	-3.163280E-03	1.406436E+00	6.332182E-01	9.952884E-01	1.009637E-01
9	-1.203246E-03	1.398030E-03	-4.626694E-03	1.386436E+00	6.132182E-01	9.929669E-01	1.318709E-01
10	-1.616247E-03	1.868251E-03	-6.455722E-03	1.366436E+00	5.932182E-01	9.899861E-01	1.668992E-01
11	-2.084769E-03	2.395752E-03	-8.680108E-03	1.346436E+00	5.732182E-01	9.862635E-01	2.060484E-01
12	-2.599634E-03	2.967361E-03	-1.132736E-02	1.326436E+00	5.532182E-01	9.817167E-01	2.493185E-01
13	-3.148384E-03	3.565553E-03	-1.442343E-02	1.306436E+00	5.332182E-01	9.762633E-01	2.967096E-01
14	-3.715254E-03	4.168812E-03	-1.799318E-02	1.286436E+00	5.132182E-01	9.698208E-01	3.482217E-01
15	-4.280962E-03	4.750613E-03	-2.206096E-02	1.266436E+00	4.932182E-01	9.623069E-01	4.038548E-01
16	-4.822351E-03	5.279604E-03	-2.665144E-02	1.246436E+00	4.732182E-01	9.536391E-01	4.636088E-01
17	-5.311943E-03	5.718592E-03	-3.179014E-02	1.226436E+00	4.532182E-01	9.437351E-01	5.274838E-01
18	-5.713053E-03	6.031636E-03	-3.749877E-02	1.206436E+00	4.332182E-01	9.325234E-01	5.936965E-01
19	-5.970068E-03	6.211999E-03	-4.376933E-02	1.186436E+00	4.132182E-01	9.199972E-01	6.582539E-01
20	-6.058432E-03	6.246868E-03	-5.056226E-02	1.166436E+00	3.932182E-01	9.062207E-01	7.187113E-01
21	-5.968310E-03	6.119552E-03	-5.783358E-02	1.146436E+00	3.732182E-01	8.912762E-01	7.750478E-01
22	-5.691476E-03	5.815688E-03	-6.554306E-02	1.126436E+00	3.532182E-01	8.752463E-01	8.272633E-01
23	-5.221702E-03	5.323532E-03	-7.365394E-02	1.106436E+00	3.332182E-01	8.582132E-01	8.753579E-01
24	-4.555054E-03	4.634264E-03	-8.213213E-02	1.086436E+00	3.132182E-01	8.402594E-01	9.193315E-01
25	-3.690101E-03	3.742162E-03	-9.094584E-02	1.066436E+00	2.932182E-01	8.214674E-01	9.591841E-01
26	-2.628632E-03	2.645317E-03	-1.000651E-01	1.046436E+00	2.732182E-01	8.019195E-01	9.949158E-01
27	-1.376010E-03	1.346353E-03	-1.094613E-01	1.026436E+00	2.532182E-01	7.816982E-01	1.026526E+00
